industries,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,pairing_explanation,reference_text,pages
"['b7-coal-operations', 'b14-oil-and-gas-services']",single_hop,Compare the number of quantitative metrics between Oil & Gas-Services and Coal Operations industries.,The Oil & Gas-Services industry has 2 quantitative metrics while the Coal Operations industry has 5 quantitative metrics.,The Oil & Gas-Services industry has 3 quantitative metrics while the Coal Operations industry has 4 quantitative metrics.,Both industries have an equal number of 3 quantitative metrics each.,The Oil & Gas-Services industry has 4 quantitative metrics while the Coal Operations industry has 2 quantitative metrics.,The Oil & Gas-Services industry has 3 quantitative metrics while the Coal Operations industry has 5 quantitative metrics.,optionB,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['Table 1. Sustainability Disclosure Topics & Metrics: TOPIC | METRIC | CATEGORY | UNIT OF MEASURE | CODE, Emissions Reduction Services & Fuels Management | Total fuel consumed, percentage renewable, percentage used in: (1) on-road equipment and vehicles and (2) off-road equipment | Quantitative | Gigajoules (GJ), Percent- age (%) | EM-SV-110a.1, Emissions Reduction Services & Fuels Management | Percentage of engines in service that meet Tier 4 compliance comply with highest level of emissions standards for non-road diesel engine emissions | Quantitative | Percentage (%) | EM-SV-110a.3, Water Management Services | (1) Total volume of fresh water handled in operations, (2) percentage recycled | Quantitative | Thousand cubic meters (m³), Percent- age (%) | EM-SV-140a.1', 'Table 1. Sustainability Disclosure Topics & Metrics: TOPIC | METRIC | CATEGORY | UNIT OF MEASURE | CODE, Greenhouse Gas Emissions | Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations | Quantitative | Metric tons (t) CO₂-e, Percentage (%) | EM-CO-110a.1, Water Management | (1) Total fresh water withdrawn, (2) percentage recycled, (3) percentage in regions with High or Extremely High Baseline Water Stress | Quantitative | Thousand cubic meters (m³), Percentage (%) | EM-CO-140a.1, Reserves Valuation & Capital Expenditures | Sensitivity of coal reserve levels to future price projection scenarios that account for a price on carbon emissions | Quantitative | Million metric tons (Mt) | EM-CO-420a.1, Reserves Valuation & Capital Expenditures | Estimated carbon dioxide emissions embedded in proven coal reserves | Quantitative | Metric tons (t) CO₂-e | EM-CO-420a.2']","['126_b14', '42-51_b7']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",single_hop,What formulas are used to calculate the EM-CO-420a.2 metric 'Estimated carbon dioxide emissions embedded in proven coal reserves' in the Coal Operations industry?,"The formula used is: E = R × V × C, where E = potential emissions in kg CO2, R = proven reserves in Gg, V = net calorific value in TJ/Gg, C = effective CO2 emission factor in kg/TJ.",There is no specific formula mentioned for calculating this metric.,"The formula is not explicitly stated, but details on calculation methodologies are provided in Section 3.",The report does not provide any formulas for calculating metrics.,"The formula used is: E = P × Q, where E = emissions, P = production, Q = emissions factor.",optionA,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['Estimated potential carbon dioxide emissions from proven coal reserves shall be calculated according to the following formula, derived from Meinshausen et al: 2.1 E = R × V × C, where: 2.1.1 E are the potential emissions in kilograms of carbon dioxide (kg CO2); 2.1.2 R are the proven reserves in gigagrams (Gg); 2.1.3 V is the net calorific value in terajoules per gigagram (TJ/Gg); and 2.1.4 C is the effective carbon dioxide emission factor in kilograms CO2 per terajoule (kg/TJ).']",['51_b7']
"['b7-coal-operations', 'b14-oil-and-gas-services']",multi_hop,Give me the codes for all the 'Quantitative' metrics in Table 1 for the Coal Operations and Oil & Gas-Services industries.,"EM-CO-110a.1, EM-CO-140a.1, EM-CO-420a.1, EM-CO-420a.2, EM-SV-110a.1, EM-SV-110a.3, EM-SV-140a.1","EM-CO-000.A, EM-CO-000.B, EM-SV-110a.1, EM-SV-110a.3, EM-SV-140a.1, EM-SV-000.A, EM-SV-000.B, EM-SV-000.C, EM-SV-000.D","EM-CO-110a.1, EM-CO-140a.1, EM-CO-420a.1, EM-CO-420a.2, EM-SV-110a.1, EM-SV-140a.1","EM-CO-110a.1, EM-CO-140a.2, EM-CO-420a.1, EM-SV-110a.2, EM-SV-140a.2","EM-CO-110a.1, EM-CO-140a.1, EM-CO-420a.2, EM-SV-110a.3, EM-SV-140a.1",C,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['Emissions Reduction Services & Fuels Management | Total fuel consumed, percentage renewable, percentage used in: (1) on-road equipment and vehicles and (2) off-road equipment | Quantitative | Gigajoules (GJ), Percent- age (%)', 'Water Management Services | (1) Total volume of fresh water handled in operations, (2) percentage recycled | Quantitative | Thousand cubic meters (m³), Percent- age (%)', 'Greenhouse Gas Emissions | Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations | Quantitative | Metric tons (t) CO₂-e, Percentage (%)', 'Water Management | (1) Total fresh water withdrawn, (2) percentage recycled, (3) percentage in regions with High or Extremely High Baseline Water Stress | Quantitative | Thousand cubic meters (m³), Percentage (%)', 'Reserves Valuation & Capital Expenditures | Sensitivity of coal reserve levels to future price projection scenarios that account for a price on carbon emissions | Quantitative | Million metric tons (Mt)', 'Reserves Valuation & Capital Expenditures | Estimated carbon dioxide emissions embedded in proven coal reserves | Quantitative | Metric tons (t) CO₂-e']","['43_b7', '126_b14']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",multi_hop,Give me the codes for all the 'Discussion and Analysis' metrics in Table 1 for the Coal Operations and Oil & Gas-Services industries.,"EM-CO-110a.2, EM-CO-420a.3, EM-SV-110a.2, EM-SV-140a.2","EM-CO-110a.1, EM-CO-140a.1, EM-CO-420a.1, EM-CO-420a.2","EM-SV-110a.1, EM-SV-110a.3, EM-SV-140a.1","EM-CO-000.A, EM-CO-000.B, EM-SV-000.A, EM-SV-000.B, EM-SV-000.C, EM-SV-000.D","EM-CO-140a.2, EM-SV-140a.2",A,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['Greenhouse Gas Emissions | Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions reduction targets, and an analysis of performance against those targets | Discussion and Analysis | n/a', 'Reserves Valuation & Capital Expenditures | Discussion of how price and demand for coal and/or climate regulation influence the capital expenditure strategy for exploration, acquisition, and development of assets | Discussion and Analysis | n/a', 'Emissions Reduction Services & Fuels Management | Discussion of strategy or plans to address air emissions-related risks, opportunities, and impacts | Discussion and Analysis | n/a', 'Water Management Services | Discussion of strategy or plans to address water consumption and dispos- al-related risks, opportunities, and impacts | Discussion and Analysis | n/a']","['44_b7', '127_b14']"
"['b7-coal-operations', 'b14-oil-and-gas-services']",multi_hop,What units of measurement are used across the Coal Operations and Oil & Gas-Services industries for measuring greenhouse gas emissions?,Million metric tons (Mt),"Metric tons (t) CO2-e, Percentage (%)","Gigajoules (GJ), Percentage (%)","Thousand cubic meters (m³), Percentage (%)",Number,B,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['Greenhouse Gas Emissions | Gross global Scope 1 emissions, percentage covered under emissions-limiting regulations | Quantitative | Metric tons (t) CO₂-e, Percentage (%)']",['43_b7']
"['b7-coal-operations', 'b14-oil-and-gas-services']",multi_hop,"Comparing the Coal Operations and Oil & Gas-Services industries, which sustainability topic is more prominently addressed in the Coal Operations industry but not explicitly covered for the Oil & Gas-Services industry?",Greenhouse Gas Emissions,Water Management,Emissions Reduction Services & Fuels Management,Reserves Valuation & Capital Expenditures,Activity Metrics,D,"Both industries involve extensive environmental impact due to resource extraction and energy production activities. Comparing their sustainability efforts could shed light on how they manage emissions, land use, and community impacts.","['# Reserves Valuation & Capital Expenditures ... EM-CO-420a.1. Sensitivity of coal reserve levels to future price projection scenarios that account for a price on carbon emissions ... EM-CO-420a.2. Estimated carbon dioxide emissions embedded in proven coal reserves ... EM-CO-420a.3. Discussion of how price and demand for coal and/or climate regulation influence the capital expenditure strategy for exploration, acquisition, and development of assets', ""The Oil & Gas-Services industry disclosure topics do not include a 'Reserves Valuation & Capital Expenditures' topic.""]","['43-52_b7', '126-132_b14']"
"['b5-household-and-personal-products', 'b25-processed-foods']",single_hop,What are the common sustainability topics shared between the Household & Personal Products and Processed Foods industries?,"Energy Management, Water Management","Environmental & Social Impacts of Palm Oil Supply Chain, Environmental & Social Impacts of Ingredient Supply Chain","Water Management, Environmental & Social Impacts of Ingredient Supply Chain","Energy Management, Environmental & Social Impacts of Palm Oil Supply Chain","Ingredient Sourcing, Water Management",C,"Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['The Household & Personal Products industry has the Water Management topic.', 'The Processed Foods industry has the Water Management topic and the Environmental & Social Impacts of Ingredient Supply Chain topic.']","['33_b5', '257_b25']"
"['b5-household-and-personal-products', 'b25-processed-foods']",single_hop,Give me all the metrics that are in category 'Quantitative' for the Household & Personal Products and Processed Foods industries.,"CG-HP-140a.1, FB-PF-130a.1, FB-PF-140a.1, FB-PF-140a.2, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1","CG-HP-430a.1, FB-PF-130a.1, FB-PF-140a.1, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1","CG-HP-140a.1, FB-PF-130a.1, FB-PF-140a.1, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1","CG-HP-140a.1, CG-HP-430a.1, FB-PF-130a.1, FB-PF-140a.1, FB-PF-140a.2, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1","CG-HP-140a.1, CG-HP-430a.1, FB-PF-130a.1, FB-PF-140a.1, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1",E,"Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['CG-HP-140a.1 is a Quantitative metric for the Household & Personal Products industry.', 'CG-HP-430a.1 is a Quantitative metric for the Household & Personal Products industry.', 'FB-PF-130a.1, FB-PF-140a.1, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1 are Quantitative metrics for the Processed Foods industry.']","['33_b5', '257_b25']"
"['b5-household-and-personal-products', 'b25-processed-foods']",single_hop,List the activity metrics for the Household & Personal Products and Processed Foods industries.,"CG-HP-000.A, CG-HP-000.B, FB-PF-000.A, FB-PF-000.B","CG-HP-140a.1, FB-PF-000.A, FB-PF-000.B","CG-HP-430a.1, FB-PF-000.A","CG-HP-000.A, FB-PF-130a.1, FB-PF-140a.1","CG-HP-140a.2, FB-PF-440a.2",A,"Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['The activity metrics for the Household & Personal Products industry are CG-HP-000.A and CG-HP-000.B.', 'The activity metrics for the Processed Foods industry are FB-PF-000.A and FB-PF-000.B.']","['33_b5', '257_b25']"
"['b5-household-and-personal-products', 'b25-processed-foods']",single_hop,What formulas are used to calculate the CG-HP-140a.1 metric in the Household & Personal Products industry and the FB-PF-140a.1 metric in the Processed Foods industry?,There are no formulas specified for calculating these metrics.,To calculate CG-HP-140a.1: Percentage = (Water withdrawn in high/extremely high water stress regions) / (Total water withdrawn). To calculate FB-PF-140a.1: No formula given.,To calculate CG-HP-140a.1: Percentage = (Water consumed in high/extremely high water stress regions) / (Total water consumed). To calculate FB-PF-140a.1: No formula given.,"To calculate CG-HP-140a.1: No formula given. To calculate FB-PF-140a.1: Percentage = (Water withdrawn in high/extremely high water stress regions) / (Total water withdrawn), Percentage = (Water consumed in high/extremely high water stress regions) / (Total water consumed).","To calculate CG-HP-140a.1: Percentage = (Water withdrawn in high/extremely high water stress regions) / (Total water withdrawn), Percentage = (Water consumed in high/extremely high water stress regions) / (Total water consumed). To calculate FB-PF-140a.1: Percentage = (Water withdrawn in high/extremely high water stress regions) / (Total water withdrawn), Percentage = (Water consumed in high/extremely high water stress regions) / (Total water consumed).",E,"Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['For CG-HP-140a.1: ""5 The entity shall disclose its water withdrawn in locations with High or Extremely High Baseline Water Stress as a percentage of the total water withdrawn. 6 The entity shall disclose its water consumed in locations with High or Extremely High Baseline Water Stress as a percentage of the total water consumed.""', 'For FB-PF-140a.1: ""5 The entity shall disclose its water withdrawn in locations with High or Extremely High Baseline Water Stress as a percentage of the total water withdrawn. 6 The entity shall disclose its water consumed in locations with High or Extremely High Baseline Water Stress as a percentage of the total water consumed.""']","['34_b5', '261_b25']"
"['b5-household-and-personal-products', 'b25-processed-foods']",multi_hop,Give me the codes for all the 'Quantitative' metrics in Table 1 for the Processed Foods and Household & Personal Products industries.,"FB-PF-130a.1, FB-PF-140a.1, FB-PF-140a.2, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1, CG-HP-140a.1, CG-HP-430a.1","FB-PF-130a.1, FB-PF-140a.1, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1, CG-HP-140a.1, CG-HP-430a.1","FB-PF-140a.1, FB-PF-430a.1, FB-PF-430a.2, FB-PF-440a.1, CG-HP-140a.1, CG-HP-430a.1","FB-PF-130a.1, FB-PF-140a.1, FB-PF-430a.1, FB-PF-440a.1, CG-HP-140a.1, CG-HP-430a.1",<UNKNOWN>,D,"Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['FB-PF-130a.1. (1) Total energy consumed, (2) percent\xadage grid electricity, (3) percentage renewable', 'FB-PF-140a.1. (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress', 'FB-PF-430a.1. Percentage of food ingredients sourced that are certified to third-party environ\xadmental and/or social standards, and percentages by standard', 'FB-PF-440a.1. Percentage of food ingredients sourced from regions with High or Extremely High Baseline Water Stress', 'CG-HP-140a.1. (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress', 'CG-HP-430a.1. Amount of palm oil sourced, percentage certified through the Roundtable on Sustainable Palm Oil (RSPO) supply chains as (a) Identity Preserved, (b) Segregated, (c) Mass Balance, or (d) Book & Claim']","['259_b25', '34_b5']"
"['b5-household-and-personal-products', 'b25-processed-foods']",multi_hop,What units of measurement are used across the Processed Foods and Household & Personal Products industries for measuring water withdrawn and water consumed?,"Thousand cubic meters (m³), Percent­age (%)","Metric tons (t), Percent­age (%)","Gigajoules (GJ), Metric tons (t)","Thousand cubic meters (m³), Number",<UNKNOWN>,A,"Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['FB-PF-140a.1. (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress', 'CG-HP-140a.1. (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress']","['261_b25', '34_b5']"
"['b5-household-and-personal-products', 'b25-processed-foods']",multi_hop,"Are there any common sustainability topics between the Processed Foods and Household & Personal Products industries, and if so, how do their reporting requirements differ?","Yes, the Water Management topic is common to both industries. The reporting requirements are identical for measuring total water withdrawn and consumed, but only the Processed Foods industry has an additional metric for reporting non-compliance incidents related to water permits and regulations.","No, there are no common sustainability topics covered for these two industries.","Yes, the Water Management topic is common to both industries. The reporting requirements are exactly the same for both industries.","Yes, the Energy Management topic is common to both industries. The reporting requirements for energy consumption and renewable energy use are more detailed for the Processed Foods industry compared to the Household & Personal Products industry.",<UNKNOWN>,A,"Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['FB-PF-140a.1. (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress', 'FB-PF-140a.2. Number of incidents of non-compliance associated with water quantity and/or quality permits, standards, and regula\xadtions', 'CG-HP-140a.1. (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress']","['261_b25', '34_b5']"
"['b5-household-and-personal-products', 'b25-processed-foods']",multi_hop,"When preparing sustainability reports, how do the metrics for measuring water risks differ between the Processed Foods and Household & Personal Products industries?","The Processed Foods industry has a quantitative metric for reporting water-related non-compliance incidents, while the Household & Personal Products industry does not have such a metric.",There is no difference in the water risk metrics between the two industries.,The Household & Personal Products industry has more detailed quantitative metrics for measuring water risks compared to the Processed Foods industry.,"The Processed Foods industry has a quantitative metric for measuring the percentage of ingredients sourced from water-stressed regions, while the Household & Personal Products industry does not have such a metric.",<UNKNOWN>,A,"Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['FB-PF-140a.2. Number of incidents of non-compliance associated with water quantity and/or quality permits, standards, and regula\xadtions', 'CG-HP-140a.2. Description of water management risks and discussion of strategies and practi- ces to mitigate those risks']","['261_b25', '34_b5']"
