industry,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,reference,page
b10-metals-and-mining,Definition or Explanation: Questions asking to define or explain industry-specific terms or concepts.,"In the context of energy management for metals and mining companies, how is renewable energy defined?",Energy from sources that are replenished at a rate greater than or equal to their rate of depletion,Energy derived solely from solar and wind sources,Any energy source that does not produce carbon emissions,Energy produced on-site by the company's own facilities,Energy purchased from the grid that is certified as 'green' by the supplier,A. Energy from sources that are replenished at a rate greater than or equal to their rate of depletion,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86-87
b10-metals-and-mining,Contextual Understanding: Questions that test understanding of the broader context or implications of the information.,"How might the energy intensity of mining operations change as mineral deposits become less accessible, and what implications does this have for a company's environmental impact and operational costs?",Energy intensity remains constant regardless of deposit accessibility,Energy intensity decreases as deposits become less accessible,"Energy intensity increases with decreasing grades and increasing depth of deposits, potentially raising costs and environmental impact",Energy intensity is solely determined by the type of mineral being extracted,Energy intensity fluctuates randomly and has no correlation with deposit accessibility,"C. Energy intensity increases with decreasing grades and increasing depth of deposits, potentially raising costs and environmental impact",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86
b10-metals-and-mining,Contextual Understanding: Questions that test understanding of the broader context or implications of the information.,Why is the disclosure of incidents of non-compliance with water quality permits and regulations significant for understanding a metals and mining company's environmental performance?,It only matters for public relations purposes,Non-compliance incidents are irrelevant to environmental performance,It provides insight into the company's operational efficiency,"It reflects the company's commitment to environmental stewardship, regulatory compliance, and potential operational and reputational risks",Non-compliance incidents only affect the company's stock price,"D. It reflects the company's commitment to environmental stewardship, regulatory compliance, and potential operational and reputational risks",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,89
b10-metals-and-mining,Contextual Understanding: Questions that test understanding of the broader context or implications of the information.,How might the trend of decreasing ore grades in mining operations affect a company's greenhouse gas emissions strategy and energy management approach?,It would have no significant impact on emissions or energy use,It could lead to decreased energy consumption as operations become more targeted,"It would likely increase energy intensity, potentially leading to higher emissions and a need for more efficient energy management","It would only affect water usage, not energy or emissions",It would result in lower operational costs due to reduced material processing,"C: It would likely increase energy intensity, potentially leading to higher emissions and a need for more efficient energy management",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86
b10-metals-and-mining,Contextual Understanding: Questions that test understanding of the broader context or implications of the information.,"In the context of the Metals & Mining industry's disclosure requirements, how does the concept of 'emissions-limiting regulations' relate to a company's global operations and financial reporting?",It only applies to voluntary emissions reduction programs,It requires companies to reduce emissions equally across all global operations,It has no connection to financial reporting or global operations,"It relates to the percentage of global Scope 1 emissions covered by mandatory emissions control regulations, aligned with financial reporting boundaries",It only applies to Scope 2 and 3 emissions in the company's home country,"D: It relates to the percentage of global Scope 1 emissions covered by mandatory emissions control regulations, aligned with financial reporting boundaries",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,83-84
b10-metals-and-mining,"Policy or Procedure Questions: Questions about specific policies, standards, or procedures mentioned in the document.",What is the prescribed methodology for calculating Scope 1 greenhouse gas emissions in the Metals & Mining industry?,Using the entity's own proprietary calculation methods,Following the methodology in The Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard,Estimating based on industry averages,Using only direct measurements from emissions monitoring systems,Calculating based on fuel consumption alone,B. Following the methodology in The Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,82-83
b10-metals-and-mining,"Policy or Procedure Questions: Questions about specific policies, standards, or procedures mentioned in the document.","According to the disclosure requirements, how should a metals and mining company calculate the percentage of its energy consumption that comes from renewable sources?",Renewable energy consumption divided by total electricity consumption,Renewable electricity generation divided by total energy consumption,Renewable energy consumption divided by total energy consumption,Renewable fuel consumption divided by total fuel consumption,Renewable energy purchases divided by total energy purchases,C. Renewable energy consumption divided by total energy consumption,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86-87
b10-metals-and-mining,"Policy or Procedure Questions: Questions about specific policies, standards, or procedures mentioned in the document.",What specific requirement must be met for a metals and mining company to claim renewable energy credits (RECs) or Guarantees of Origin (GOs) as part of its renewable energy consumption?,The RECs or GOs must be purchased from a government-approved source,The RECs or GOs must be retained and retired or cancelled on behalf of the entity,The RECs or GOs must be sold to other companies to promote renewable energy use,The RECs or GOs must be reported to local environmental agencies,The RECs or GOs must be exchanged for carbon credits,B. The RECs or GOs must be retained and retired or cancelled on behalf of the entity,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,87
b10-metals-and-mining,"Policy or Procedure Questions: Questions about specific policies, standards, or procedures mentioned in the document.","When disclosing water-related information, how does the Metals & Mining industry standard define areas of 'High Baseline Water Stress'?",Regions where water demand exceeds 50% of available supply,Areas with annual rainfall below 500mm,Locations where groundwater depletion is occurring at a rate of 1% per year,"Regions classified as 40-80% water stressed by the WRI Water Risk Atlas tool, Aqueduct",Areas where water conflicts have occurred in the past 5 years,"D. Regions classified as 40-80% water stressed by the WRI Water Risk Atlas tool, Aqueduct",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,88-89
b10-metals-and-mining,Open-ended Analysis: Questions that require synthesizing information to form an opinion or analysis.,"How might the energy intensity of mining operations affect a company's competitiveness in the global metals market, and what strategies could be employed to address this challenge?",Energy intensity has no impact on competitiveness in the metals market,"Companies should focus solely on securing cheap, non-renewable energy sources to remain competitive","Implementing energy efficiency measures and diversifying energy sources, including renewables, can help manage costs and improve competitiveness",Outsourcing all energy-intensive operations to third-party contractors is the best strategy,Reducing production volume is the only way to address energy intensity challenges,"C. Implementing energy efficiency measures and diversifying energy sources, including renewables, can help manage costs and improve competitiveness",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86-87
b10-metals-and-mining,Open-ended Analysis: Questions that require synthesizing information to form an opinion or analysis.,In what ways could a metals and mining company's water management practices in water-stressed regions impact its long-term operational sustainability and social license to operate?,Water management practices have no impact on operational sustainability or social license to operate,Companies should prioritize water usage over local communities to maintain production levels,"Implementing efficient water use, recycling, and community engagement can enhance sustainability and maintain social license",Relocating operations to water-rich regions is the only viable long-term solution,Paying fines for excessive water use is more cost-effective than implementing water management practices,"C. Implementing efficient water use, recycling, and community engagement can enhance sustainability and maintain social license",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,88-89
b10-metals-and-mining,Open-ended Analysis: Questions that require synthesizing information to form an opinion or analysis.,How could a metals and mining company's energy management strategy influence its resilience to market fluctuations and environmental regulations?,By solely relying on grid electricity to avoid investment in energy infrastructure,Through maintaining current energy consumption patterns without considering alternatives,"By diversifying energy sources, increasing renewable energy usage, and improving energy efficiency to reduce costs and emissions",Through focusing exclusively on reducing energy costs without regard for environmental impact,By outsourcing all energy-intensive operations to third parties,"C. By diversifying energy sources, increasing renewable energy usage, and improving energy efficiency to reduce costs and emissions",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,86-87
b10-metals-and-mining,Negative Questions: Questions about what is NOT mentioned or covered in the document.,Which of the following environmental impacts is NOT mentioned as a major concern for the Metals & Mining industry in the provided content?,Greenhouse gas emissions,Energy consumption,Water management,Noise pollution,Air quality,D. Noise pollution,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,81-89
b10-metals-and-mining,Negative Questions: Questions about what is NOT mentioned or covered in the document.,Which of the following is NOT listed as a component of the 'Activity Metrics' for the Metals & Mining industry?,Production of metal ores,Production of finished metal products,Total number of employees,Percentage of contractors,Annual revenue,E. Annual revenue,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,81
b10-metals-and-mining,Negative Questions: Questions about what is NOT mentioned or covered in the document.,Which of the following is NOT mentioned as a typical parameter of concern for water quality incidents in the Metals & Mining industry?,Arsenic,Copper,Cyanide,Radium-226,Mercury,E. Mercury,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Metals & Mining,89
b11-oil-and-gas-exploration-and-production,"Factual Retrieval: Questions that require finding and stating specific facts from the document, but without asking what is NOT mentioned or covered in the document.",What are the five categories of gross global Scope 1 emissions that oil and gas exploration and production companies are required to disclose according to EM-EP-110a.2?,"Flared hydrocarbons, other combustion, process emissions, other vented emissions, and fugitive emissions","Flared hydrocarbons, natural gas leaks, process emissions, other vented emissions, and pipeline emissions","Other combustion, process emissions, other vented emissions, fugitive emissions, and transportation emissions","Flared hydrocarbons, other combustion, process emissions, other vented emissions, and well completion emissions","Other combustion, process emissions, other vented emissions, fugitive emissions, and offshore platform emissions","A. Flared hydrocarbons, other combustion, process emissions, other vented emissions, and fugitive emissions",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,95-96
b11-oil-and-gas-exploration-and-production,"Factual Retrieval: Questions that require finding and stating specific facts from the document, but without asking what is NOT mentioned or covered in the document.","According to the industry description, what activities are covered by the Oil & Gas - Exploration & Production standard?",Only onshore oil and gas extraction,Only offshore oil and gas extraction,Development of both on-shore and off-shore reserves,Only conventional oil and gas reserves,Only unconventional oil and gas reserves,C. Development of both on-shore and off-shore reserves,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,90
b11-oil-and-gas-exploration-and-production,"Factual Retrieval: Questions that require finding and stating specific facts from the document, but without asking what is NOT mentioned or covered in the document.",What is the unit of measure for the metric 'Estimated carbon dioxide emissions embedded in proved hydrocarbon reserves' (EM-EP-420a.2)?,Million barrels (MMbbls),Metric tons (t) CO₂-e,Million standard cubic feet (MMscf),Percentage (%),Thousand cubic meters (m³),B. Metric tons (t) CO₂-e,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,91
b11-oil-and-gas-exploration-and-production,"Factual Retrieval: Questions that require finding and stating specific facts from the document, but without asking what is NOT mentioned or covered in the document.",What is the definition of 'fresh water' according to the water management metrics?,Water with less than 500 parts per million of dissolved solids,Water with less than 1000 parts per million of dissolved solids,Water with less than 2000 parts per million of dissolved solids,Water obtained only from natural sources,Water that has been treated in a purification plant,B. Water with less than 1000 parts per million of dissolved solids,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,99
b11-oil-and-gas-exploration-and-production,Multi-hop Reasoning: Questions that require connecting information from multiple parts of the document.,How might an oil and gas exploration company's capital expenditure strategy be affected if the Sustainable Development Scenario from the IEA's World Energy Outlook becomes reality?,The company would likely increase investments in conventional oil and gas reserves,The company would probably maintain its current investment strategy without changes,The company might shift investments towards renewable energy and lower-carbon assets,The company would focus exclusively on offshore drilling projects,The company would increase investments in coal reserves to diversify its portfolio,C. The company might shift investments towards renewable energy and lower-carbon assets,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,103-107
b11-oil-and-gas-exploration-and-production,Multi-hop Reasoning: Questions that require connecting information from multiple parts of the document.,"If an E&P company operates in a region with High Baseline Water Stress and is required to disclose its water management practices, which combination of actions would likely be most effective in addressing both regulatory compliance and environmental concerns?",Increase freshwater withdrawal and discharge more produced water,Implement water recycling technologies and disclose all fracturing fluid chemicals,Reduce water consumption but increase hydrocarbon content in discharged water,Increase hydraulic fracturing without monitoring groundwater quality,Only focus on reducing Scope 1 emissions without considering water management,B. Implement water recycling technologies and disclose all fracturing fluid chemicals,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,99-102
b11-oil-and-gas-exploration-and-production,Multi-hop Reasoning: Questions that require connecting information from multiple parts of the document.,How would an E&P company's greenhouse gas emission reduction strategy be impacted if it discovers that a significant portion of its Scope 1 emissions come from methane in vented and fugitive emissions?,Focus solely on reducing flared hydrocarbons,Ignore methane emissions and concentrate on CO2 from combustion,Implement comprehensive leak detection and repair programs along with improved venting management,Increase natural gas production to offset methane emissions,Only report combined Scope 1 and 2 emissions to mask the methane issue,C. Implement comprehensive leak detection and repair programs along with improved venting management,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,93-98
b11-oil-and-gas-exploration-and-production,Multi-hop Reasoning: Questions that require connecting information from multiple parts of the document.,"If an E&P company's sensitivity analysis shows that a significant portion of its reserves may become uneconomical under the IEA's Sustainable Development Scenario, how might this impact its approach to reserves valuation and capital expenditures?","Continue with business as usual, ignoring the sensitivity analysis results","Immediately divest all potentially stranded assets, regardless of current profitability",Diversify investments into both lower-carbon energy sources and more efficient extraction technologies for existing reserves,Increase production rates to extract maximum value before potential regulatory changes,Only invest in regions without climate regulations to avoid future risks,C. Diversify investments into both lower-carbon energy sources and more efficient extraction technologies for existing reserves,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,103-107
b11-oil-and-gas-exploration-and-production,Definition or Explanation: Questions asking to define or explain industry-specific terms or concepts.,What are 'flared hydrocarbons' in the context of greenhouse gas emissions from oil and gas exploration and production?,Hydrocarbons that are intentionally burned off during well testing,Emissions from stationary devices like boilers and furnaces,All emissions emitted from flares associated with the management and disposal of unrecoverable natural gas,Fugitive emissions from valves and connectors,Vented emissions from crude oil storage tanks,C. All emissions emitted from flares associated with the management and disposal of unrecoverable natural gas,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,95
b11-oil-and-gas-exploration-and-production,Definition or Explanation: Questions asking to define or explain industry-specific terms or concepts.,What is the 'Sustainable Development Scenario' as described in the IEA's World Energy Outlook?,A scenario that assumes no changes in current policies,A scenario that assumes broad policy commitments and plans announced by countries will be implemented,A scenario that assumes an energy pathway consistent with limiting global temperature increase to 1.5°C,A scenario that focuses solely on maximizing oil and gas production,A scenario that assumes all fossil fuel use will cease by 2050,C. A scenario that assumes an energy pathway consistent with limiting global temperature increase to 1.5°C,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,103-104
b11-oil-and-gas-exploration-and-production,Definition or Explanation: Questions asking to define or explain industry-specific terms or concepts.,How is 'water consumption' defined in the context of water management metrics for oil and gas exploration and production?,The total amount of water withdrawn from all sources,Water that evaporates during usage and water incorporated into products or services,Only the water used in hydraulic fracturing operations,The amount of water discharged back into the environment,Water used for cooling equipment in production facilities,B. Water that evaporates during usage and water incorporated into products or services,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,99-100
b11-oil-and-gas-exploration-and-production,Definition or Explanation: Questions asking to define or explain industry-specific terms or concepts.,What does 'deterioration in water quality' mean in the context of hydraulic fracturing site monitoring?,Any change in water color or odor,Presence of thermogenic gas or increased methane concentration by more than 5.0 mg/l,Decrease in water pressure at the well site,Increase in water temperature by more than 2 degrees Celsius,Presence of any contaminants not naturally occurring in the water,B. Presence of thermogenic gas or increased methane concentration by more than 5.0 mg/l,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,101
b11-oil-and-gas-exploration-and-production,Contextual Understanding: Questions that test understanding of the broader context or implications of the information.,How might an oil and gas exploration company's capital expenditure strategy be influenced by the increasing global focus on renewable energy sources?,By solely increasing investments in fossil fuel extraction technologies,By diversifying investments to include renewable energy projects,By completely abandoning all hydrocarbon-related investments,By focusing only on short-term profit maximization from existing reserves,By investing exclusively in deep-sea drilling operations,B. By diversifying investments to include renewable energy projects,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,106-107
b11-oil-and-gas-exploration-and-production,Contextual Understanding: Questions that test understanding of the broader context or implications of the information.,What potential impact could the requirement to disclose estimated carbon dioxide emissions embedded in proved hydrocarbon reserves have on an E&P company's long-term strategy?,It would have no impact on the company's strategy,It might lead to increased focus on lower-carbon intensity reserves,It would result in immediate abandonment of all high-carbon reserves,It would only affect the company's marketing strategies,It would lead to increased investment in carbon-intensive reserves,B. It might lead to increased focus on lower-carbon intensity reserves,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,105-106
b11-oil-and-gas-exploration-and-production,Contextual Understanding: Questions that test understanding of the broader context or implications of the information.,How could the requirement for E&P companies to discuss their long-term and short-term strategies to manage Scope 1 emissions impact their operational decision-making?,It would have no impact on operational decisions,It might encourage investment in emissions reduction technologies and practices,It would lead to immediate shutdown of all high-emission operations,It would only affect the company's public relations strategies,It would result in increased investment in high-emission operations,B. It might encourage investment in emissions reduction technologies and practices,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,96-98
b11-oil-and-gas-exploration-and-production,Contextual Understanding: Questions that test understanding of the broader context or implications of the information.,How might the requirement for E&P companies to disclose the percentage of hydraulically fractured wells with public disclosure of all fracturing fluid chemicals impact industry practices and stakeholder relations?,It may lead to increased operational costs for companies,It could result in improved public trust and transparency in the industry,It might cause companies to reduce their hydraulic fracturing activities,It would have no significant impact on industry practices,It could lead to increased regulatory scrutiny of hydraulic fracturing operations,B: It could result in improved public trust and transparency in the industry,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Exploration & Production,101
b11-oil-and-gas-exploration-and-production,"Policy or Procedure Questions: Questions about specific policies, standards, or procedures mentioned in the document.",What specific water management metrics are E&P companies required to disclose according to the IFRS S2 Climate-related Disclosures?,Only total fresh water withdrawn,"Total fresh water withdrawn and consumed, with percentages in water-stressed regions",Only water consumption in hydraulic fracturing operations,Produced water volume without any further breakdown,Only wastewater discharge volumes,"B. Total fresh water withdrawn and consumed, with percentages in water-stressed regions",IFRS S2 Climate-related Disclosures Appendix B,91
b11-oil-and-gas-exploration-and-production,"Policy or Procedure Questions: Questions about specific policies, standards, or procedures mentioned in the document.",What is the required frequency for ongoing water quality monitoring at hydraulic fracturing sites according to the disclosure requirements?,Monthly,Quarterly,Annually,"Once between 12-18 months after well completion, then again between 60-78 months later",Only when requested by regulatory authorities,"D. Once between 12-18 months after well completion, then again between 60-78 months later",IFRS S2 Climate-related Disclosures Appendix B,101-102
b11-oil-and-gas-exploration-and-production,"Policy or Procedure Questions: Questions about specific policies, standards, or procedures mentioned in the document.","According to the disclosure requirements, how should E&P companies analyze the sensitivity of their hydrocarbon reserves to future price scenarios?",Using only internal company projections,Based on historical price trends,Using scenarios from the International Energy Agency's World Energy Outlook,Only considering current market prices,Using scenarios provided by OPEC,C. Using scenarios from the International Energy Agency's World Energy Outlook,IFRS S2 Climate-related Disclosures Appendix B,103-104
b11-oil-and-gas-exploration-and-production,"Policy or Procedure Questions: Questions about specific policies, standards, or procedures mentioned in the document.",What specific information about renewable energy investments are E&P companies required to disclose according to the IFRS S2 Climate-related Disclosures?,Only the total amount invested in renewable energy,The number of renewable energy projects,Projected future renewable energy investments,Total amount invested in renewable energy and revenue generated from renewable energy sales,Only the percentage of total investment allocated to renewables,D. Total amount invested in renewable energy and revenue generated from renewable energy sales,IFRS S2 Climate-related Disclosures Appendix B,106
b11-oil-and-gas-exploration-and-production,Open-ended Analysis: Questions that require synthesizing information to form an opinion or analysis.,How might the requirement to disclose the amount invested in renewable energy and revenue generated from renewable energy sales affect E&P companies' diversification strategies?,It could encourage E&P companies to increase investments in renewable energy,It might lead to E&P companies spinning off their renewable energy divisions,It could result in E&P companies abandoning renewable energy investments altogether,It may not have any significant impact on E&P companies' strategies,It could cause E&P companies to overstate their renewable energy investments,A. It could encourage E&P companies to increase investments in renewable energy,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,106
b11-oil-and-gas-exploration-and-production,Open-ended Analysis: Questions that require synthesizing information to form an opinion or analysis.,What potential consequences could arise from the requirement for E&P companies to discuss how price and demand for hydrocarbons and climate regulation influence their capital expenditure strategy?,It may lead to more strategic and climate-conscious investment decisions,It could result in a uniform approach to capital expenditure across the industry,It might cause companies to halt all new exploration and development projects,It could lead to increased regulatory scrutiny of E&P companies' operations,It may have no significant impact on companies' capital expenditure strategies,A. It may lead to more strategic and climate-conscious investment decisions,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,106-107
b11-oil-and-gas-exploration-and-production,Negative Questions: Questions about what is NOT mentioned or covered in the document.,Which of the following is NOT mentioned as a category for disclosing Scope 1 emissions from E&P operations?,Flared hydrocarbons,Process emissions,Fugitive emissions,Vented emissions,Indirect emissions from electricity consumption,E. Indirect emissions from electricity consumption,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,95-96
b11-oil-and-gas-exploration-and-production,Negative Questions: Questions about what is NOT mentioned or covered in the document.,Which of the following is NOT included in the disclosure requirements for water management in E&P operations?,Total fresh water withdrawn,Volume of produced water and flowback generated,Percentage of hydraulically fractured wells with public disclosure of fracturing fluid chemicals,Percentage of hydraulic fracturing sites with deteriorated water quality,Water treatment technologies used at hydraulic fracturing sites,E. Water treatment technologies used at hydraulic fracturing sites,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,99-102
b11-oil-and-gas-exploration-and-production,Negative Questions: Questions about what is NOT mentioned or covered in the document.,Which of the following price scenarios is NOT mentioned as part of the required sensitivity analysis for hydrocarbon reserves?,Current Policies Scenario,New Policies Scenario,Sustainable Development Scenario,Net Zero Emissions by 2050 Scenario,Company's own price forecasts,D. Net Zero Emissions by 2050 Scenario,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,103-104
