industry,qa_type,question,optionA,optionB,optionC,optionD,answer,reference_text,pages
b2-appliance-manufacturing,multi_hop,Can you tell me what topics are covered in the 'Product Lifecycle Environmental Impacts' section of the Appliance Manufacturing document and what are the key takeaways I need to know as a company writing my sustainability report in the Appliance Manufacturing industry?,The topic covers energy efficiency certifications only; Key takeaway is to focus on obtaining energy star ratings for all products,The topic covers AHAM sustainability standards only; Key takeaway is to certify all products to AHAM standards,"The topic covers energy efficiency, AHAM sustainability standards, and end-of-life impacts; Key takeaways include differentiating products through environmental impact, improving energy and water efficiency, and managing end-of-life disposal",The topic covers production volumes only; Key takeaway is to report annual production numbers for small and major appliances,C,"['# Product Lifecycle Environmental Impacts', '## Topic Summary', ""Companies in the Appliance Manufacturing industry are constantly seeking to differentiate their products from those of their competitors. One key differentiating factor is the environmental impact of products over their lifecycle, which is often associated with the cost of using appliances. This issue involves a company's ability to design products with the entire lifecycle in mind, from creation and use to disposal. In particular, this covers energy and water efficiency in appliances, which account for a significant proportion of a home's energy and water use, as well as designing for and facilitating safe end-of-life disposal and recycling. Companies that prioritize designing and manufacturing products with improved environmental impacts are more likely to grow consumer demand and market share. Furthermore, companies that are able to minimize the environmental impacts of products are more likely to be better positioned to increased regulation related to areas such as extended producer responsibility.""]",['12']
b2-appliance-manufacturing,multi_hop,"For the listed 'Description of efforts to manage products' end-of-life impacts' requirement, what metric should a company in the Appliance Manufacturing industry use for extended producer responsibility (EPR) initiatives and how should this metric be disclosed?",Quantitative metric measuring the percentage of products recycled; Disclose as a percentage of total products sold,Financial metric reporting the cost of EPR initiatives; Disclose as a monetary value in the company's reporting currency,"Discussion and Analysis; Describe participation in EPR initiatives, including voluntary or mandatory nature, direct product take-back or support for recycling infrastructure, and relevant performance measures or targets",Binary metric indicating presence or absence of EPR program; Disclose as 'Yes' or 'No' without further details,C,"[""CG-AM-410a.3. Description of efforts to manage products' end-of-life impacts"", '4    The entity shall discuss its participation in extended producer responsibility (EPR) initiatives, including the following aspects:', '4.1    Whether the entity directly conducts product take-back, recovery, and recycling or if the entity supports infrastructure for product recovery and recycling through joint ventures, partnerships with retailers and others, or by funding research into recycling technologies', '4.2    Whether the initiative is voluntary or mandatory (e.g., in order to maintain compliance with EU Directive 2012/19/EU on waste electrical and electronic equipment (WEEE) or the Japan home appliance recycling law)', '4.3    Relevant performance measures or targets for the initiative such as the total amount of material recovered and the total amount of material recycled']","['13', '14']"
b3-building-products-and-furnishings,single_hop,On what page can I find details about the 'Wood Supply Chain Management' topic for the Building Products & Furnishings industry?,Page 15,Page 18,Page 22,Page 24,C,"['# Wood Supply Chain Management', '## Topic Summary', 'The Building Products & Furnishings industry utilizes large amounts of wood sourced from forests worldwide. Unsustainable production and harvesting of timber can result in adverse environmental and social impacts, including biodiversity loss and harm to the livelihoods of forest-dependent communities.']",['22']
b3-building-products-and-furnishings,single_hop,What is the unit of measure for the 'Annual production' activity metric in the Building Products & Furnishings industry (as listed in the relevant table)?,Metric tons (t),Square meters (m²),See note,Gigajoules (GJ),C,"['| ACTIVITY METRIC | CATEGORY | UNIT OF MEASURE | CODE |', '|------------------|----------|------------------|------|', '| Annual production⁴ | Quantitative | See note | CG-BF-000.A |']",['15']
b3-building-products-and-furnishings,single_hop,"For the listed 'Energy Management in Manufacturing' requirement, what metric should a company in the Building Products & Furnishings industry use for reporting renewable energy consumption?",Percentage of total energy consumed,Gigajoules (GJ),Kilowatt hours (kWh),Metric tons of CO2 equivalent,A,"['3. The entity shall disclose (3) the percentage of energy it consumed that is renewable energy.', '3.1 Renewable energy is defined as energy from sources that are replenished at a rate greater than or equal to their rate of depletion, such as geothermal, wind, solar, hydro, and biomass.', '3.2 The percentage shall be calculated as renewable energy consumption divided by total energy consumption.']","['16', '17']"
b3-building-products-and-furnishings,single_hop,What is the code of the 'Total weight of wood fiber materials purchased' metric in the Building Products & Furnishings industry (as listed in the relevant table)?,CG-BF-130a.1,CG-BF-410a.1,CG-BF-410a.2,CG-BF-430a.1,D,"['| Wood Supply Chain Management | (1) Total weight of wood fiber materials purchased, (2) percentage from third-party certified forestlands, (3) percentage by standard, and (4) percentage certified to other wood fiber standards, (5) percentage by standard³ | Quantitative | Metric tons (t), Percentage (%) by weight | CG-BF-430a.1 |']",['15']
b3-building-products-and-furnishings,multi_hop,What is the category of the 'Annual production' activity metric in the Building Products & Furnishings industry and how should this metric be disclosed?,"Quantitative; disclosed in typical units tracked by the entity such as number of units, weight, and/or square feet",Qualitative; disclosed as a narrative description of production processes,Quantitative; disclosed only in metric tons,Qualitative; disclosed as a percentage of total industry production,A,"['Annual production⁴ | Quantitative | See note | CG-BF-000.A', '4 Note to CG-BF-000.A – Production shall be disclosed in typical units tracked by the entity such as number of units, weight, and/or square feet.']",['15']
b3-building-products-and-furnishings,multi_hop,Can you provide the unit of measure for all the metrics for the 'Energy Management in Manufacturing' topic in the Building Products & Furnishings industry and how should these metrics be calculated?,Gigajoules (GJ) and Percentage (%); calculated based on total energy consumed and percentage of renewable energy,Kilowatt-hours (kWh) and Percentage (%); calculated based on electricity consumption only,Metric tons of CO2 equivalent and Percentage (%); calculated based on emissions from energy consumption,British Thermal Units (BTU) and Ratio; calculated based on energy intensity per unit of production,A,"['Energy Management in Manufacturing | (1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable | Quantitative | Gigajoules (GJ), Percentage (%) | CG-BF-130a.1', '1. The entity shall disclose (1) the total amount of energy it consumed as an aggregate figure, in gigajoules (GJ).', '2. The entity shall disclose (2) the percentage of energy it consumed that was supplied from grid electricity.', '3. The entity shall disclose (3) the percentage of energy it consumed that is renewable energy.']","['16', '17']"
b3-building-products-and-furnishings,multi_hop,What is the code of the 'Weight of end-of-life material recovered' metric in the Building Products & Furnishings industry and how should this metric be disclosed?,CG-BF-410a.2; disclosed as total weight in metric tons and percentage recycled,CG-BF-410a.1; disclosed as a qualitative description of recovery efforts,CG-BF-000.A; disclosed in typical units tracked by the entity,CG-BF-130a.1; disclosed as total energy consumed in the recovery process,A,"['Product Lifecycle Environmental Impacts | (1) Weight of end-of-life material recovered, (2) percentage of recovered materials recycled | Quantitative | Metric tons (t), Percentage (%) by weight | CG-BF-410a.2', '1 The entity shall disclose the weight, in metric tons, of materials recovered, including those recovered through recycling services, product take-back programs, and refurbishment services.', '2 The entity shall disclose the percentage of end-of-life materials recovered that were recycled or remanufactured.']","['19', '20']"
b3-building-products-and-furnishings,multi_hop,Can you tell me what topics are covered in the 'Wood Supply Chain Management' section of the Building Products & Furnishings document and what are the key takeaways I need to know as a company writing my sustainability report in this industry?,"Topic: Sustainable wood sourcing; Key takeaways: Disclose total weight of wood fiber purchased, percentages from certified forestlands and other wood fiber standards",Topic: Deforestation prevention; Key takeaways: Report on reforestation efforts and carbon sequestration,Topic: Timber production efficiency; Key takeaways: Disclose productivity metrics and waste reduction in wood processing,Topic: Wood product innovation; Key takeaways: Report on development of new wood-based materials and their environmental benefits,A,"['Wood Supply Chain Management', 'Topic Summary', 'The Building Products & Furnishings industry utilizes large amounts of wood sourced from forests worldwide. Unsustainable production and harvesting of timber can result in adverse environmental and social impacts, including biodiversity loss and harm to the livelihoods of forest-dependent communities.', 'Metrics', 'CG-BF-430a.1. (1) Total weight of wood fiber materials purchased; (2) percentage from third-party certified forestlands, (3) percentage by standard, and (4) percentage certified to other wood fiber standards, (5) percentage by standard']","['22', '23']"
b4-e-commerce,single_hop,What is the code of the 'Total greenhouse gas (GHG) footprint of product shipments' metric in the E-Commerce industry (as listed in the relevant table)?,CG-EC-410a.1,CG-EC-410a.2,CG-EC-130a.1,CG-EC-130a.2,A,['| Product Packaging & Distribution | Total greenhouse gas (GHG) footprint of product shipments | Quantitative | Metric tons (t) CO₂-e | CG-EC-410a.1 |'],['25']
b4-e-commerce,single_hop,"Can you provide for me the unit of measure I should use for the 'Data processing capacity, percentage outsourced' metric in the E-Commerce industry?",Number,Percentage (%),Gigajoules (GJ),See note,D,"['| Data processing capacity, percentage outsourced ⁷ | Quantitative | See note | CG-EC-000.B |']",['25']
b4-e-commerce,single_hop,"For the listed 'Total energy consumed' requirement, what does a company in the E-Commerce industry need to do?","Disclose the total amount of energy consumed as an aggregate figure, in kilowatt-hours (kWh)","Disclose the total amount of energy consumed as an aggregate figure, in gigajoules (GJ)",Disclose the total amount of energy consumed as separate figures for each energy source,Disclose the total amount of energy consumed as a percentage of renewable energy,B,"['1. The entity shall disclose (1) the total amount of energy it consumed as an aggregate figure, in gigajoules (GJ).']",['27']
b4-e-commerce,single_hop,What topics are covered in the 'Hardware Infrastructure Energy & Water Management' section of the E-Commerce document?,"Energy consumption, water consumption, and data center efficiency","Product packaging, distribution, and carbon footprint",User activity metrics and data processing capacity,Environmental considerations for strategic planning,A,"['A large part of the energy consumed by the E-Commerce industry is used to power critical hardware and IT infrastructure in data centers. Data centers need to be powered continuously, and disruptions to the energy supply can have a material impact on operations, depending on the magnitude and timing of the disruption. Companies also face a tradeoff when it comes to energy and water consumption for their data center cooling needs: Cooling data centers with water instead of chillers is a means of improving energy efficiency, but it can lead to dependence on significant local water resources.']",['27']
b4-e-commerce,multi_hop,"What is the category of the 'Total greenhouse gas (GHG) footprint of product shipments' metric in the E-Commerce industry, and how should this metric be calculated?",Quantitative; Calculate using the well-to-wheel methodology for all outbound shipments,Qualitative; Estimate based on average shipping distances and vehicle types,Quantitative; Calculate using the tank-to-wheels methodology for all outbound shipments according to EN 16258:2012,Discussion and Analysis; Provide a narrative description of GHG emissions from shipping,C,"['CG-EC-410a.1. Total greenhouse gas (GHG) footprint of product shipments', ""1. The entity shall disclose the complete tank-to-wheels greenhouse gas (GHG) footprint, in metric tons of CO₂-e, associated with outbound shipment of the entity's products."", '1.2 The entity shall calculate its disclosure according to EN 16258:2012, Methodology for calculation and declaration of energy consumption and GHG emissions of transport services (freight and passengers).', '| TOPIC | METRIC | CATEGORY | UNIT OF MEASURE | CODE |', '| Product Packaging & Distribution | Total greenhouse gas (GHG) footprint of product shipments | Quantitative | Metric tons (t) CO₂-e | CG-EC-410a.1 |']","['31', '32']"
b4-e-commerce,multi_hop,Can you provide the unit of measure for all the metrics for the 'Hardware Infrastructure Energy & Water Management' topic in the E-Commerce industry and how should these metrics be calculated?,All metrics use percentage (%); Calculate based on industry averages,Gigajoules (GJ) and Thousand cubic meters (m³); Calculate total consumption and percentages as specified in the guidelines,Kilowatt-hours (kWh) and Liters (L); Calculate based on utility bills,No specific unit of measure; Provide qualitative descriptions only,B,"['| TOPIC | METRIC | CATEGORY | UNIT OF MEASURE | CODE |', '| Hardware Infrastructure Energy & Water Management | (1) Total energy consumed, (2) percent- age grid electricity, (3) percentage renewable | Quantitative | Gigajoules (GJ), Percent- age (%) | CG-EC-130a.1 |', '| Hardware Infrastructure Energy & Water Management | (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress | Quantitative | Thousand cubic meters (m³), Percent- age (%) | CG-EC-130a.2 |', '1. The entity shall disclose (1) the total amount of energy it consumed as an aggregate figure, in gigajoules (GJ).', '2. The entity shall disclose (2) the percentage of energy it consumed that was supplied from grid electricity.', '3. The entity shall disclose (3) the percentage of energy it consumed that is renewable energy.', '1. The entity shall disclose the amount of water, in thousands of cubic meters, that was withdrawn from all sources.', '3. The entity shall disclose the amount of water, in thousands of cubic meters, that was consumed in its operations.']","['25', '27', '28', '29']"
b4-e-commerce,multi_hop,What is the code of the 'Discussion of strategies to reduce the environmental impact of product delivery' metric in the E-Commerce industry and how should this metric be disclosed?,CG-EC-410a.1; Disclose quantitative data on emissions reduction targets,"CG-EC-410a.2; Discuss strategies for reducing environmental impact of fulfillment and delivery, including packaging and transportation",CG-EC-130a.3; Provide a detailed analysis of carbon offsetting initiatives,CG-EC-000.C; Report on the number of shipments and their average distance,B,"['| TOPIC | METRIC | CATEGORY | UNIT OF MEASURE | CODE |', '| Product Packaging & Distribution | Discussion of strategies to reduce the environmental impact of product delivery | Discussion and Analysis | n/a | CG-EC-410a.2 |', 'CG-EC-410a.2. Discussion of strategies to reduce the environmental impact of product delivery', '1. The entity shall discuss its strategies to reduce the environmental impact of fulfillment and delivery of its products, including impacts associated with packaging materials and those associated with product transportation.', '2. Relevant strategies to discuss include, but are not limited to:', '2.1 Discussion of logistics selection, mode selection, and management (e.g., rail transport vs. air freight transport) and/or operation for route efficiency', '2.2 Discussion of packaging choices, including, but not limited to, decisions to utilize recycled or renewable (e.g., bio-based plastic) packaging material, decisions to optimize the amount of packaging materials used (e.g., source reduction), use of refillable or reusable packaging, and design for efficient shipping and transport', '2.3 Discussion of fuel choices and vehicle choices for fleets owned and/or operated by the entity, such as decisions to use renewable and low-emission fuels and low-emission vehicles']","['25', '32']"
b4-e-commerce,multi_hop,Can you tell me what topics are covered in the 'Hardware Infrastructure Energy & Water Management' section of the E-Commerce document and what are the key takeaways I need to know as a company writing my sustainability report in the E-Commerce industry?,Only energy consumption is covered; Key takeaway is to report total energy used,"Energy and water consumption are covered; Key takeaways include reporting total energy and water usage, percentages of grid and renewable electricity, and water stress considerations",Only water consumption is covered; Key takeaway is to report water usage in data centers,Carbon emissions are the main focus; Key takeaway is to report greenhouse gas emissions from data centers,B,"['# Hardware Infrastructure Energy & Water Management', '## Topic Summary', 'A large part of the energy consumed by the E-Commerce industry is used to power critical hardware and IT infrastructure in data centers. Data centers need to be powered continuously, and disruptions to the energy supply can have a material impact on operations, depending on the magnitude and timing of the disruption. Companies also face a tradeoff when it comes to energy and water consumption for their data center cooling needs: Cooling data centers with water instead of chillers is a means of improving energy efficiency, but it can lead to dependence on significant local water resources. Companies that effectively manage this issue may benefit from cost savings and minimize reputational risks, as there is growing concern over energy and water use.', '## Metrics', 'CG-EC-130a.1. (1) Total energy consumed, (2) percentage grid electricity, (3) percentage renewable', 'CG-EC-130a.2. (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress', 'CG-EC-130a.3. Discussion of the integration of environmental considerations into strategic planning for data center needs']","['27', '28', '29', '30']"
b5-household-and-personal-products,single_hop,On what page can I find details about the Industry Description for the Household & Personal Products industry?,Page 32,Page 33,Page 34,Page 35,B,"['The Household & Personal Products industry comprises companies that manufacture a wide range of goods for personal and commercial consumption, including cosmetics, household and industrial cleaning supplies, soaps and detergents, sanitary paper products, household batteries, razors, and kitchen utensils.']",['33']
b5-household-and-personal-products,single_hop,"What is the code of the 'Amount of palm oil sourced, percentage certified through the Roundtable on Sustainable Palm Oil (RSPO) supply chains' metric in the Household & Personal Products industry (as listed in the relevant table)?",CG-HP-140a.1,CG-HP-140a.2,CG-HP-430a.1,CG-HP-000.A,C,"['| Environmental & Social Impacts of Palm Oil Supply Chain | Amount of palm oil sourced, percentage certified through the Roundtable on Sustainable Palm Oil (RSPO) supply chains as (a) Identity Preserved, (b) Segregated, (c) Mass Balance, or (d) Book & Claim | Quantitative | Metric tons (t), Percentage (%) | CG-HP-430a.1 |']",['33']
b5-household-and-personal-products,single_hop,"For the listed water management requirement, what does a company in the Household & Personal Products industry need to do regarding water withdrawn in locations with High or Extremely High Baseline Water Stress?",Disclose the amount of water withdrawn as a percentage of total revenue,Disclose water withdrawn as a percentage of the total water withdrawn,Disclose water withdrawn as an absolute value in cubic meters,Disclose water withdrawn as a percentage of total production volume,B,['5 The entity shall disclose its water withdrawn in locations with High or Extremely High Baseline Water Stress as a percentage of the total water withdrawn.'],['35']
b5-household-and-personal-products,single_hop,What is the category of the 'Number of manufacturing facilities' metric in the Household & Personal Products industry?,Discussion and Analysis,Qualitative,Descriptive,Quantitative,D,['| Number of manufacturing facilities | Quantitative | Number | CG-HP-000.B |'],['33']
b5-household-and-personal-products,multi_hop,Can you provide the unit of measure for all the metrics for the Water Management topic in the Household & Personal Products industry and explain how these metrics should be calculated?,"The unit of measure is Thousand cubic meters (m³) and Percentage (%). Total water withdrawn and consumed should be measured, with percentages calculated for regions with High or Extremely High Baseline Water Stress.","The unit of measure is Liters (L) and Percentage (%). Only total water consumed needs to be measured, with percentages calculated for all regions regardless of water stress.","The unit of measure is Gallons and Percentage (%). Total water withdrawn and consumed should be measured, but only for regions with Extremely High Baseline Water Stress.","The unit of measure is Thousand cubic meters (m³) and Ratio. Total water withdrawn and consumed should be measured, with ratios calculated for regions with Low or Medium Baseline Water Stress.",A,"['CG-HP-140a.1. (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress', 'Quantitative | Thousand cubic meters (m³), Percentage (%) | CG-HP-140a.1', '1 The entity shall disclose the amount of water, in thousands of cubic meters, that was withdrawn from all sources.', '3 The entity shall disclose the amount of water, in thousands of cubic meters, that was consumed in its operations.', '5 The entity shall disclose its water withdrawn in locations with High or Extremely High Baseline Water Stress as a percentage of the total water withdrawn.', '6 The entity shall disclose its water consumed in locations with High or Extremely High Baseline Water Stress as a percentage of the total water consumed.']","['34', '35']"
b5-household-and-personal-products,multi_hop,"What is the category of the 'Description of water management risks and discussion of strategies and practices to mitigate those risks' metric in the Household & Personal Products industry, and how should this metric be disclosed?",The category is Quantitative. The metric should be disclosed as a numerical value representing the number of identified risks and mitigation strategies.,"The category is Discussion and Analysis. The metric should be disclosed through a detailed narrative describing water management risks and mitigation strategies, including short-term and long-term plans.",The category is Binary. The metric should be disclosed as a yes/no response to whether water management risks exist and if mitigation strategies are in place.,The category is Comparative. The metric should be disclosed by comparing the company's water management risks and strategies to industry benchmarks.,B,"['CG-HP-140a.2. Description of water management risks and discussion of strategies and practices to mitigate those risks', 'Discussion and Analysis | n/a | CG-HP-140a.2', '1 The entity shall describe its water management risks associated with water withdrawals, water consumption, and discharge of water and/or wastewater.', '4 The entity shall discuss its short-term and long-term strategies or plan to mitigate water management risks, including, but not limited to:', '4.1 The scope of its strategy, plans, goals and/or targets, such as how they relate to different business units, geographies, or water-consuming operational processes.']","['34', '35', '36']"
b5-household-and-personal-products,multi_hop,"What is the code of the palm oil sourcing metric in the Household & Personal Products industry, and how should this metric be calculated?","The code is CG-HP-430a.1. The metric should be calculated as the total amount of palm oil sourced, with no consideration for RSPO certification.","The code is CG-HP-430b.2. The metric should be calculated as the percentage of RSPO-certified palm oil, regardless of the supply chain model.","The code is CG-HP-430a.1. The metric should be calculated as the amount of palm oil sourced and the percentage certified through RSPO supply chains, broken down by four specific models.","The code is CG-HP-430c.3. The metric should be calculated as the ratio of certified to non-certified palm oil, without specifying RSPO supply chain models.",C,"['CG-HP-430a.1. Amount of palm oil sourced, percentage certified through the Roundtable on Sustainable Palm Oil (RSPO) supply chains as (a) Identity Preserved, (b) Segregated, (c) Mass Balance, or (d) Book & Claim', '1 The entity shall disclose the amount, in metric tons, of palm oil that it sourced during the reporting period.', '2 The entity shall disclose the percentage, on a weight basis, of palm oil it sourced that has been third-party certified to bear a Roundtable on Sustainable Palm Oil (RSPO) claim for each of the RSPO supply chain models: (a) Identity Preserved (IP), (b) Segregated (SG), (c) Mass Balance (MB), or (d) Book & Claim (B&C).']",['38']
b5-household-and-personal-products,multi_hop,Can you tell me what topics are covered in the Environmental & Social Impacts of Palm Oil Supply Chain section of the Household & Personal Products document and what are the key takeaways I need to know as a company writing my sustainability report in this industry?,The section covers palm oil production methods. Key takeaways are to focus on increasing palm oil usage and maximizing yield without considering environmental impacts.,The section covers palm oil alternatives. Key takeaways are to completely eliminate palm oil from supply chains and replace it with synthetic substitutes.,"The section covers palm oil sourcing and certification. Key takeaways are to disclose the amount of palm oil sourced, ensure RSPO certification, and consider the environmental and social risks associated with palm oil in the supply chain.",The section covers palm oil transportation. Key takeaways are to optimize logistics for palm oil delivery and reduce transportation-related emissions.,C,"['Palm oil harvesting in specific regions of the world can contribute to deforestation, GHG emissions, and other environmental and social problems. If not sourced responsibly, palm oil materials contribute to environmental and social externalities that can present reputational and regulatory risks for companies.', 'Companies face pressure to track and responsibly source palm oil. Additionally, they face pressure to ensure minimum standards for working conditions in the supply chain, as the production of palm oil is often associated with labor issues.', 'CG-HP-430a.1. Amount of palm oil sourced, percentage certified through the Roundtable on Sustainable Palm Oil (RSPO) supply chains as (a) Identity Preserved, (b) Segregated, (c) Mass Balance, or (d) Book & Claim', 'The entity shall disclose the amount, in metric tons, of palm oil that it sourced during the reporting period.', 'The entity shall disclose the percentage, on a weight basis, of palm oil it sourced that has been third-party certified to bear a Roundtable on Sustainable Palm Oil (RSPO) claim for each of the RSPO supply chain models']",['38']
b6-multiline-and-specialty-retailers-and-distributors,single_hop,What is the unit of measure for the 'Total area of: (1) retail space and (2) distribution centers' activity metric in the Multiline and Specialty Retailers & Distributors industry (as listed in the relevant table)?,Square meters (m²),Square feet (ft²),Hectares (ha),Acres (ac),A,['Total area of: (1) retail space and (2) distribution centers | Quantitative | Square meters (m²) | CG-MR-000.B'],['39']
