Question Type,Temperature,Method,Hop Type,Industry Type,Specificity,Faithfulness,Relevancy,Single Best Answer,Negative Questions,Multi-hop Questions,BLEU,ROUGE
Free-text,0.2,local,multi_hop,local,8,7,8.0,0,0,1,0.732494705682641,0.8364888074279909
Free-text,0.2,local,multi_hop,local,9,9,8.0,0,0,1,0.7141563332669072,0.8245243080503645
Free-text,0.5,local,single_hop,local,10,10,10.0,0,0,1,1.0,0.999999995
Free-text,0.5,local,single_hop,local,9,9,9.0,0,0,1,1.0,0.999999995
Free-text,0.5,local,multi_hop,local,10,10,9.0,0,0,1,0.700924552859243,0.7708333283355036
Free-text,0.5,local,multi_hop,local,8,6,7.0,0,0,1,0.740931055824848,0.9411764656055364
Free-text,0.5,local,single_hop,local,9,8,9.0,0,0,1,1.0,0.999999995
Free-text,0.5,local,single_hop,local,9,8,9.0,0,0,1,1.0,0.999999995
Free-text,0.5,local,multi_hop,local,8,8,9.0,0,0,1,1.0,0.999999995
Free-text,0.5,local,multi_hop,local,10,8,9.0,0,0,1,1.0,0.999999995
Free-text,0.2,local,single_hop,local,6,5,6.0,0,0,1,1.0,0.999999995
Free-text,0.2,local,single_hop,local,10,10,10.0,0,0,1,1.2170994537392895e-14,0.16666666513888892
Free-text,0.2,local,multi_hop,local,10,8,9.0,0,0,1,0.3994767037053186,0.7142857093172084
Free-text,0.2,local,multi_hop,local,9,7,8.0,0,0,1,0.668985667790381,0.825174820180938
Free-text,0.0,local,single_hop,local,9,8,9.0,0,0,1,1.0,0.999999995
Free-text,0.0,local,single_hop,local,9,8,9.0,0,0,1,1.0,0.999999995
Free-text,0.0,local,multi_hop,local,9,8,9.0,0,0,1,0.5706507336983886,0.8124999950265842
Free-text,0.0,local,multi_hop,local,8,6,8.0,0,0,1,0.600049211789295,0.7289719576277404
Free-text,0.0,local,single_hop,local,10,10,10.0,0,0,1,1.0,0.999999995
Free-text,0.0,local,single_hop,local,7,6,8.0,0,0,1,1.0,0.999999995
Free-text,0.0,local,multi_hop,local,10,10,9.0,0,0,1,0.6953071243818303,0.7912087862383771
Free-text,0.0,local,multi_hop,local,8,6,7.0,0,0,1,0.6408185147858506,0.879120874193938
Free-text,1.0,local,single_hop,local,8,8,9.0,0,0,1,1.0,0.999999995
Free-text,1.0,local,single_hop,local,10,10,9.0,0,0,1,3.723135471803531e-21,0.07407407336076818
Free-text,1.0,local,multi_hop,local,8,5,6.0,0,0,1,0.8095740391699187,0.8553459069593766
Free-text,1.0,local,multi_hop,local,9,7,8.0,0,0,1,0.23648556251386127,0.39234449359767404
Free-text,1.0,local,single_hop,local,7,6,8.0,0,0,0,1.0,0.999999995
Free-text,1.0,local,single_hop,local,8,9,9.0,0,0,1,1.0,0.999999995
Free-text,1.0,local,multi_hop,local,9,8,9.0,0,0,1,0.6021593211849352,0.7651006661681907
Free-text,1.0,local,multi_hop,local,9,8,9.0,0,0,1,0.6522180114483838,0.8837209252568958
Free-text,0.0,local,single_hop,local,9,9,9.0,0,0,1,0.15662518738653466,0.5188679204699181
Free-text,0.0,local,single_hop,local,9,8,9.0,0,0,1,0.7497428598324223,0.912751672866763
Free-text,0.0,local,multi_hop,local,8,7,8.0,0,0,1,1.0,0.999999995
Free-text,0.0,local,multi_hop,local,8,6,8.0,0,0,1,1.0,0.999999995
