qa_type,temperature,question1,question2,similarity
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the gross global Scope 1 emissions for the Agricultural Products industry?,0.18170947
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What does the Agricultural Products industry discuss in its long-term and short-term strategy or plan to manage Scope 1 emissions?,0.1120719
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What metric does the Agricultural Products industry use to disclose its fleet fuel consumed?,0.15832013
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What does the Agricultural Products industry disclose about its operational energy consumed?,0.14984408
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the definition of 'financed emissions' according to the SASB standard?,0.12877661
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,"According to the SASB standard, what is the scope of disclosure for the metric 'Gross exposure to carbon-related industries'?",0.08870846
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,What is the definition of 'gross exposure' according to the SASB standard?,0.09875498
single_hop,0,What is the number of (1) lots and (2) homes delivered on redevelopment sites?,"According to the SASB standard, what is the scope of disclosure for the metric 'For each industry by asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions and (2) gross exposure (i.e., financed emissions)'?",0.08311646
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,0.26234317
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",0.2771174
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,0.27136663
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the entity's average refrigerant emissions rate?,0.29291773
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,0.24279723
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,0.23121803
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the definition of Scope 1 emissions according to the SASB standards?,0.1383442
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the definition of alternative fuel according to the SASB standards?,0.09470227
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the definition of sustainable fuel according to the SASB standards?,0.1453766
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the definition of the TR-AF-430a.1 metric according to the SASB standards?,0.096506044
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the percentage of the entity's gross global Scope 1 greenhouse gas emissions that are from methane?,0.25331965
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,Which of the following is NOT an example of an emissions-limiting regulation covered under EM-MD-110a.1?,0.19807059
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,Which of the following is NOT a category of emissions that the entity may discuss in its strategy or plan to manage Scope 1 emissions under EM-MD-110a.2?,0.19268022
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,"Under EM-MD-110a.2, which of the following is NOT a required element for the entity to discuss regarding its emission reduction targets?",0.070884675
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the total energy consumed by companies in the Aerospace & Defense industry?,0.24610613
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is grid electricity?,0.24770418
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is renewable energy?,0.23651169
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What type of alternative energy-related products do companies in the Aerospace & Defense industry sell?,0.13806081
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the gross global Scope 1 emissions for the Agricultural Products industry?,0.21228224
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What does the Agricultural Products industry discuss in its long-term and short-term strategy or plan to manage Scope 1 emissions?,0.14542073
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What metric does the Agricultural Products industry use to disclose its fleet fuel consumed?,0.18434168
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What does the Agricultural Products industry disclose about its operational energy consumed?,0.20314115
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the definition of 'financed emissions' according to the SASB standard?,0.1645521
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,"According to the SASB standard, what is the scope of disclosure for the metric 'Gross exposure to carbon-related industries'?",0.12985349
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,What is the definition of 'gross exposure' according to the SASB standard?,0.14151943
single_hop,0,What is the number of (1) lots and (2) homes delivered in regions with High or Extremely High Baseline Water Stress?,"According to the SASB standard, what is the scope of disclosure for the metric 'For each industry by asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions and (2) gross exposure (i.e., financed emissions)'?",0.06670485
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",0.28382012
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,0.36668146
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the entity's average refrigerant emissions rate?,0.3989168
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,0.3263886
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,0.37294874
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the definition of Scope 1 emissions according to the SASB standards?,0.27295357
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the definition of alternative fuel according to the SASB standards?,0.21501234
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the definition of sustainable fuel according to the SASB standards?,0.28786576
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the definition of the TR-AF-430a.1 metric according to the SASB standards?,0.10120976
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the percentage of the entity's gross global Scope 1 greenhouse gas emissions that are from methane?,0.4227756
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,Which of the following is NOT an example of an emissions-limiting regulation covered under EM-MD-110a.1?,0.35239673
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,Which of the following is NOT a category of emissions that the entity may discuss in its strategy or plan to manage Scope 1 emissions under EM-MD-110a.2?,0.31488305
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,"Under EM-MD-110a.2, which of the following is NOT a required element for the entity to discuss regarding its emission reduction targets?",0.2626117
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the total energy consumed by companies in the Aerospace & Defense industry?,0.35775137
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is grid electricity?,0.25954926
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is renewable energy?,0.30742195
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What type of alternative energy-related products do companies in the Aerospace & Defense industry sell?,0.192671
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the gross global Scope 1 emissions for the Agricultural Products industry?,0.41161433
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What does the Agricultural Products industry discuss in its long-term and short-term strategy or plan to manage Scope 1 emissions?,0.30855542
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What metric does the Agricultural Products industry use to disclose its fleet fuel consumed?,0.36858517
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What does the Agricultural Products industry disclose about its operational energy consumed?,0.35488436
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the definition of 'financed emissions' according to the SASB standard?,0.40476987
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,"According to the SASB standard, what is the scope of disclosure for the metric 'Gross exposure to carbon-related industries'?",0.3871137
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,What is the definition of 'gross exposure' according to the SASB standard?,0.28644106
single_hop,0,What is the total amount of monetary losses as a result of legal proceedings associated with environmental regulations?,"According to the SASB standard, what is the scope of disclosure for the metric 'For each industry by asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions and (2) gross exposure (i.e., financed emissions)'?",0.27861023
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,0.08474061
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the entity's average refrigerant emissions rate?,0.11395312
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,0.12792575
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,0.14411351
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the definition of Scope 1 emissions according to the SASB standards?,0.26721835
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the definition of alternative fuel according to the SASB standards?,0.13909855
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the definition of sustainable fuel according to the SASB standards?,0.22042286
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the definition of the TR-AF-430a.1 metric according to the SASB standards?,0.073242135
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the percentage of the entity's gross global Scope 1 greenhouse gas emissions that are from methane?,0.21023512
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",Which of the following is NOT an example of an emissions-limiting regulation covered under EM-MD-110a.1?,0.14621729
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",Which of the following is NOT a category of emissions that the entity may discuss in its strategy or plan to manage Scope 1 emissions under EM-MD-110a.2?,0.34561792
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?","Under EM-MD-110a.2, which of the following is NOT a required element for the entity to discuss regarding its emission reduction targets?",0.22592722
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the total energy consumed by companies in the Aerospace & Defense industry?,0.15181439
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What percentage of the energy consumed by companies in the Aerospace & Defense industry is grid electricity?,0.1320216
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What percentage of the energy consumed by companies in the Aerospace & Defense industry is renewable energy?,0.15447249
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What type of alternative energy-related products do companies in the Aerospace & Defense industry sell?,0.13169943
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the gross global Scope 1 emissions for the Agricultural Products industry?,0.24140969
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What does the Agricultural Products industry discuss in its long-term and short-term strategy or plan to manage Scope 1 emissions?,0.31472754
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What metric does the Agricultural Products industry use to disclose its fleet fuel consumed?,0.067909405
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What does the Agricultural Products industry disclose about its operational energy consumed?,0.17874725
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the definition of 'financed emissions' according to the SASB standard?,0.22100526
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?","According to the SASB standard, what is the scope of disclosure for the metric 'Gross exposure to carbon-related industries'?",0.23542242
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?",What is the definition of 'gross exposure' according to the SASB standard?,0.11251262
single_hop,0,"What is the discussion of the process to integrate environmental considerations into site selection, site design, and site development and construction?","According to the SASB standard, what is the scope of disclosure for the metric 'For each industry by asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions and (2) gross exposure (i.e., financed emissions)'?",0.13875337
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the entity's average refrigerant emissions rate?,0.74813867
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,0.49565646
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,0.37555614
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the definition of Scope 1 emissions according to the SASB standards?,0.22575602
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the definition of alternative fuel according to the SASB standards?,0.21171711
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the definition of sustainable fuel according to the SASB standards?,0.28638968
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the definition of the TR-AF-430a.1 metric according to the SASB standards?,0.15456331
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the percentage of the entity's gross global Scope 1 greenhouse gas emissions that are from methane?,0.57408655
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,Which of the following is NOT an example of an emissions-limiting regulation covered under EM-MD-110a.1?,0.28170297
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,Which of the following is NOT a category of emissions that the entity may discuss in its strategy or plan to manage Scope 1 emissions under EM-MD-110a.2?,0.28198642
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,"Under EM-MD-110a.2, which of the following is NOT a required element for the entity to discuss regarding its emission reduction targets?",0.28010124
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the total energy consumed by companies in the Aerospace & Defense industry?,0.4600449
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is grid electricity?,0.47809088
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is renewable energy?,0.49273717
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What type of alternative energy-related products do companies in the Aerospace & Defense industry sell?,0.2838335
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the gross global Scope 1 emissions for the Agricultural Products industry?,0.38883957
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What does the Agricultural Products industry discuss in its long-term and short-term strategy or plan to manage Scope 1 emissions?,0.24998567
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What metric does the Agricultural Products industry use to disclose its fleet fuel consumed?,0.38863772
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What does the Agricultural Products industry disclose about its operational energy consumed?,0.39568105
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the definition of 'financed emissions' according to the SASB standard?,0.2757573
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,"According to the SASB standard, what is the scope of disclosure for the metric 'Gross exposure to carbon-related industries'?",0.33123815
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,What is the definition of 'gross exposure' according to the SASB standard?,0.22620802
single_hop,0,What is the percentage of refrigerants consumed by the entity that have zero ozone-depleting potential?,"According to the SASB standard, what is the scope of disclosure for the metric 'For each industry by asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions and (2) gross exposure (i.e., financed emissions)'?",0.18707171
single_hop,0,What is the entity's average refrigerant emissions rate?,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,0.59900856
single_hop,0,What is the entity's average refrigerant emissions rate?,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,0.39394087
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the definition of Scope 1 emissions according to the SASB standards?,0.3597479
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the definition of alternative fuel according to the SASB standards?,0.31305465
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the definition of sustainable fuel according to the SASB standards?,0.39208585
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the definition of the TR-AF-430a.1 metric according to the SASB standards?,0.2753288
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the percentage of the entity's gross global Scope 1 greenhouse gas emissions that are from methane?,0.66460973
single_hop,0,What is the entity's average refrigerant emissions rate?,Which of the following is NOT an example of an emissions-limiting regulation covered under EM-MD-110a.1?,0.37342086
single_hop,0,What is the entity's average refrigerant emissions rate?,Which of the following is NOT a category of emissions that the entity may discuss in its strategy or plan to manage Scope 1 emissions under EM-MD-110a.2?,0.39708495
single_hop,0,What is the entity's average refrigerant emissions rate?,"Under EM-MD-110a.2, which of the following is NOT a required element for the entity to discuss regarding its emission reduction targets?",0.34062657
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the total energy consumed by companies in the Aerospace & Defense industry?,0.51060677
single_hop,0,What is the entity's average refrigerant emissions rate?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is grid electricity?,0.5215671
single_hop,0,What is the entity's average refrigerant emissions rate?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is renewable energy?,0.51483595
single_hop,0,What is the entity's average refrigerant emissions rate?,What type of alternative energy-related products do companies in the Aerospace & Defense industry sell?,0.2993781
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the gross global Scope 1 emissions for the Agricultural Products industry?,0.5303233
single_hop,0,What is the entity's average refrigerant emissions rate?,What does the Agricultural Products industry discuss in its long-term and short-term strategy or plan to manage Scope 1 emissions?,0.3718673
single_hop,0,What is the entity's average refrigerant emissions rate?,What metric does the Agricultural Products industry use to disclose its fleet fuel consumed?,0.4738976
single_hop,0,What is the entity's average refrigerant emissions rate?,What does the Agricultural Products industry disclose about its operational energy consumed?,0.44201198
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the definition of 'financed emissions' according to the SASB standard?,0.47208747
single_hop,0,What is the entity's average refrigerant emissions rate?,"According to the SASB standard, what is the scope of disclosure for the metric 'Gross exposure to carbon-related industries'?",0.42830396
single_hop,0,What is the entity's average refrigerant emissions rate?,What is the definition of 'gross exposure' according to the SASB standard?,0.26646316
single_hop,0,What is the entity's average refrigerant emissions rate?,"According to the SASB standard, what is the scope of disclosure for the metric 'For each industry by asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions and (2) gross exposure (i.e., financed emissions)'?",0.26227787
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,0.43696097
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the definition of Scope 1 emissions according to the SASB standards?,0.20949289
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the definition of alternative fuel according to the SASB standards?,0.28415364
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the definition of sustainable fuel according to the SASB standards?,0.3877038
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the definition of the TR-AF-430a.1 metric according to the SASB standards?,0.124141246
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the percentage of the entity's gross global Scope 1 greenhouse gas emissions that are from methane?,0.5778656
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,Which of the following is NOT an example of an emissions-limiting regulation covered under EM-MD-110a.1?,0.3121239
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,Which of the following is NOT a category of emissions that the entity may discuss in its strategy or plan to manage Scope 1 emissions under EM-MD-110a.2?,0.36545223
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,"Under EM-MD-110a.2, which of the following is NOT a required element for the entity to discuss regarding its emission reduction targets?",0.2847998
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the total energy consumed by companies in the Aerospace & Defense industry?,0.6737436
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is grid electricity?,0.7286769
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What percentage of the energy consumed by companies in the Aerospace & Defense industry is renewable energy?,0.80905116
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What type of alternative energy-related products do companies in the Aerospace & Defense industry sell?,0.43689582
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the gross global Scope 1 emissions for the Agricultural Products industry?,0.41312495
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What does the Agricultural Products industry discuss in its long-term and short-term strategy or plan to manage Scope 1 emissions?,0.2860588
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What metric does the Agricultural Products industry use to disclose its fleet fuel consumed?,0.5683654
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What does the Agricultural Products industry disclose about its operational energy consumed?,0.58440346
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the definition of 'financed emissions' according to the SASB standard?,0.36171368
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,"According to the SASB standard, what is the scope of disclosure for the metric 'Gross exposure to carbon-related industries'?",0.3494546
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,What is the definition of 'gross exposure' according to the SASB standard?,0.13666056
single_hop,0,What percentage of the entity's energy consumption (excluding fleet vehicles) is from renewable sources?,"According to the SASB standard, what is the scope of disclosure for the metric 'For each industry by asset class: (1) absolute gross (a) Scope 1 emissions, (b) Scope 2 emissions, (c) Scope 3 emissions and (2) gross exposure (i.e., financed emissions)'?",0.2228063
single_hop,0,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,What is the definition of Scope 1 emissions according to the SASB standards?,0.06532901
single_hop,0,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,What is the definition of alternative fuel according to the SASB standards?,0.06732236
single_hop,0,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,What is the definition of sustainable fuel according to the SASB standards?,0.14158264
single_hop,0,What percentage of the entity's revenue is from eggs that originated from a cage-free environment?,What is the definition of the TR-AF-430a.1 metric according to the SASB standards?,0.044496026
