industry,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,reference,page
b3-building-products-and-furnishings,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A building materials company is trying to improve its wood supply chain management. Which of the following actions would NOT be considered a best practice for verifying suppliers' forestry management and harvesting practices?,Implementing a code of conduct for suppliers,Conducting regular audits of supplier practices,Relying solely on suppliers' self-reported data,Including forestry management criteria in supplier contracts,Verifying compliance with jurisdictional regulations,C. Relying solely on suppliers' self-reported data,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,24
b3-building-products-and-furnishings,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A company in the Building Products & Furnishings industry is assessing its product lifecycle impacts. Which of the following strategies would NOT be considered relevant for managing these impacts according to IFRS S2?,Using environmentally focused design principles,Optimizing product packaging,Designing for product take-back,Increasing the use of virgin materials,Assessing upstream environmental impacts,D. Increasing the use of virgin materials,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings,18
b4-e-commerce,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When calculating the total energy consumed by an e-commerce company, which of the following is NOT included in the scope of energy consumption?",Energy purchased from external sources,Self-generated energy,Direct fuel usage,Energy consumed by the company's suppliers,"Heating, cooling, and steam energy",D. Energy consumed by the company's suppliers,Hardware Infrastructure Energy & Water Management,27
b4-e-commerce,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to IFRS S2, how should an e-commerce company calculate the percentage of renewable energy consumed?",Renewable energy produced / Total energy consumed,Renewable energy purchased / Total energy consumed,Renewable energy consumed / Total energy consumed,(Renewable energy produced + purchased) / Total energy consumed,(Renewable energy produced + purchased - sold) / Total energy consumed,C. Renewable energy consumed / Total energy consumed,Hardware Infrastructure Energy & Water Management,27-28
b4-e-commerce,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing water consumption for an e-commerce company, which of the following is NOT considered as water consumption according to IFRS S2?","Water that evaporates during withdrawal, usage, and discharge",Water that is directly incorporated into the entity's product or service,Water that is indirectly incorporated into the entity's product or service,Water that is returned to the same catchment area from which it was withdrawn,Water that is returned to another catchment area or the sea,D. Water that is returned to the same catchment area from which it was withdrawn,Hardware Infrastructure Energy & Water Management,29
b4-e-commerce,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When calculating the greenhouse gas (GHG) footprint of product shipments, which of the following is NOT included in the scope of disclosure for an e-commerce company?",Emissions from the entity's own transportation assets,Emissions from contract carriers,Emissions from outsourced freight forwarding services,"Emissions from all modes of transportation (road, air, barge, marine, rail)",Well-to-tank emissions associated with primary energy production,E. Well-to-tank emissions associated with primary energy production,Product Packaging & Distribution,31-32
b4-e-commerce,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"According to IFRS S2, when disclosing water-related metrics for an e-commerce company, which water stress classification tool should be used to identify high-risk areas?",CDP Water Security Questionnaire,"World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",UN Global Compact CEO Water Mandate,FAO's Global Information System on Water and Agriculture (AQUASTAT),UNEP's Global Environment Outlook (GEO),"B. World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",Hardware Infrastructure Energy & Water Management,29
b4-e-commerce,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing the Power Usage Effectiveness (PUE) for data centers, which guidance should an e-commerce company follow according to IFRS S2?",ENERGY STAR Score for Data Centers,EU Code of Conduct for Data Centre Energy Efficiency,"PUE™: A Comprehensive Examination of the Metric (2014), by ASHRAE and The Green Grid Association",ISO/IEC 30134-2:2016,NREL's Best Practices Guide for Energy-Efficient Data Center Design,"C. PUE™: A Comprehensive Examination of the Metric (2014), by ASHRAE and The Green Grid Association",Hardware Infrastructure Energy & Water Management,28-29
b4-e-commerce,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"An e-commerce company is trying to reduce its environmental impact from product delivery. According to IFRS S2, which of the following strategies is NOT mentioned as a relevant approach to discuss?",Logistics and mode selection for route efficiency,"Packaging choices, including recycled or renewable materials",Fuel and vehicle choices for company-owned fleets,Efforts to reduce idling of vehicles,Implementing a customer carbon offset program,E. Implementing a customer carbon offset program,Product Packaging & Distribution,32
b4-e-commerce,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When discussing the integration of environmental considerations into strategic planning for data center needs, which of the following factors is NOT explicitly mentioned in IFRS S2 for e-commerce companies to consider?",Energy-efficiency standards,"Layout design, such as 'hot aisle/cold aisle' layouts",Regional humidity and average temperature,Water availability and groundwater stress,Proximity to renewable energy sources,E. Proximity to renewable energy sources,Hardware Infrastructure Energy & Water Management,29-30
b4-e-commerce,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"An e-commerce company is preparing its sustainability report and needs to disclose its renewable energy consumption. According to IFRS S2, which of the following sources of renewable energy should NOT be included in this calculation?",Renewable energy directly produced by the company,Renewable energy purchased through a power purchase agreement (PPA) with explicit RECs,The renewable portion of the general electricity grid mix,Renewable fuel consumed by the company,Green-e Energy Certified utility program purchases,C. The renewable portion of the general electricity grid mix,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce,28
b4-e-commerce,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"An e-commerce company is evaluating its water consumption for sustainability reporting. According to IFRS S2, how should the company define water consumption in regions with high water stress?",Total water withdrawn minus total water discharged,Only water used in data center cooling systems,"Water that evaporates, is incorporated into products, or doesn't return to the same catchment area",Total water withdrawn from all sources,Water used only in office buildings and warehouses,"C. Water that evaporates, is incorporated into products, or doesn't return to the same catchment area",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce,29
b5-household-and-personal-products,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to IFRS S2 Climate-related Disclosures, what specific information should a company in the Household & Personal Products industry disclose regarding water consumption in water-stressed areas?",Total water withdrawn only,Total water consumed only,Percentage of water withdrawn in high-stress areas,Percentage of both water withdrawn and consumed in high or extremely high water stress areas,Only the locations of water-stressed areas where the company operates,D. Percentage of both water withdrawn and consumed in high or extremely high water stress areas,IFRS S2 Climate-related Disclosures Appendix B,34-35
b5-household-and-personal-products,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When describing water management risks in a sustainability report, what specific type of regulatory and financial constraints should a company in the Household & Personal Products industry include?",Only water treatment costs,Only restrictions on water rights,Only stakeholder perceptions,Only direct competition with other users,"Volatility in water costs, stakeholder perceptions, competition with other users, and restrictions on water rights","E. Volatility in water costs, stakeholder perceptions, competition with other users, and restrictions on water rights",IFRS S2 Climate-related Disclosures Appendix B,35
b5-household-and-personal-products,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When disclosing water management targets in a sustainability report, what additional information is required regarding the timeline?",Only the target year,Only the start year and target year,"The start year, target year, and base year",Only the base year and target year,The start year and any interim milestones,"C. The start year, target year, and base year",IFRS S2 Climate-related Disclosures Appendix B,36-37
b5-household-and-personal-products,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to IFRS S2, how should a company in the Household & Personal Products industry disclose its sourcing of RSPO-certified palm oil?",Total amount of palm oil sourced only,Percentage of RSPO-certified palm oil without specifying supply chain models,"Amount of palm oil sourced and percentage certified through RSPO supply chains as Identity Preserved, Segregated, Mass Balance, or Book & Claim",Only the percentage of Identity Preserved RSPO-certified palm oil,Total amount of palm oil and percentage of non-certified palm oil,"C. Amount of palm oil sourced and percentage certified through RSPO supply chains as Identity Preserved, Segregated, Mass Balance, or Book & Claim",IFRS S2 Climate-related Disclosures Appendix B,38-39
b5-household-and-personal-products,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating water consumption for sustainability reporting in the Household & Personal Products industry, which of the following is NOT considered as consumed water?","Water that evaporates during withdrawal, usage, and discharge",Water that is directly incorporated into the entity's product,Water that is indirectly incorporated into the entity's service,Water that returns to the same catchment area from which it was withdrawn,Water that is returned to another catchment area or the sea,D. Water that returns to the same catchment area from which it was withdrawn,IFRS S2 Climate-related Disclosures Appendix B,34-35
b5-household-and-personal-products,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When disclosing water withdrawn from regions with High or Extremely High Baseline Water Stress, which tool should be used to classify these regions?",CDP Water Security Questionnaire,"World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",UN Global Compact CEO Water Mandate,SASB Materiality Map,GRI 303: Water and Effluents 2018,"B. World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",IFRS S2 Climate-related Disclosures Appendix B,35
b5-household-and-personal-products,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When calculating the percentage of RSPO-certified palm oil sourced, what is the correct denominator to use?",Total weight of all raw materials sourced,Total weight of all oils sourced,Total weight of palm oil sourced,Total weight of RSPO-certified oils sourced,Total weight of products sold containing palm oil,C. Total weight of palm oil sourced,IFRS S2 Climate-related Disclosures Appendix B,38
b5-household-and-personal-products,Metric Calculation: Questions about how to calculate or interpret specific sustainability metrics for this industry.,"When reporting on water management targets, how should the percentage reduction or improvement be calculated?",From the previous year to the current year,From the current year to the target year,From the industry average to the current performance,From the base year to the current year,From the worst performing year to the best performing year,D. From the base year to the current year,IFRS S2 Climate-related Disclosures Appendix B,37
b5-household-and-personal-products,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A company in the Household & Personal Products industry is facing water scarcity issues in multiple manufacturing locations. What is the most comprehensive approach to address this challenge in their sustainability report?,Only report on total water consumption,Focus solely on water recycling initiatives,Describe water management risks and strategies to mitigate them,Report water usage only for regions without water stress,Exclude water-related disclosures from the report,C. Describe water management risks and strategies to mitigate them,IFRS S2 Climate-related Disclosures Appendix B,35-37
b5-household-and-personal-products,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"When reporting on palm oil sourcing in the sustainability report, what is the most comprehensive way to disclose the certification status?",Report only the total amount of palm oil sourced,Disclose only RSPO-certified palm oil percentage,Report certification for Identity Preserved and Segregated only,Disclose percentages for all four RSPO supply chain models,Only report on uncertified palm oil,D. Disclose percentages for all four RSPO supply chain models,IFRS S2 Climate-related Disclosures Appendix B,38-39
b5-household-and-personal-products,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,"In addressing the environmental and social impacts of palm oil in the sustainability report, what additional aspect should a company consider disclosing?",Only the price fluctuations of palm oil,The taste profile of products containing palm oil,Other strategies and mechanisms used to manage risks and opportunities,The names of individual palm oil suppliers,Marketing strategies for palm oil-based products,C. Other strategies and mechanisms used to manage risks and opportunities,IFRS S2 Climate-related Disclosures Appendix B,39
b5-household-and-personal-products,Industry-Specific Challenges: Questions addressing unique sustainability reporting challenges or considerations specific to this industry.,A Household & Personal Products company is preparing its sustainability report and wants to address the unique challenges associated with palm oil sourcing. Which of the following represents the most comprehensive approach to reporting on this industry-specific issue?,Only disclose the total amount of palm oil sourced,"Report on palm oil sourcing and its environmental impacts, but exclude social impacts","Disclose the amount of palm oil sourced, its RSPO certification status, and discuss strategies to manage associated risks and opportunities",Focus solely on the percentage of RSPO-certified palm oil without mentioning other sustainability aspects,Exclude palm oil information from the report as it's not a material issue,"C. Disclose the amount of palm oil sourced, its RSPO certification status, and discuss strategies to manage associated risks and opportunities",IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Household & Personal Products,38
b6-multiline-and-specialty-retailers-and-distributors,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"According to the IFRS S2 Climate-related Disclosures for the Multiline and Specialty Retailers & Distributors industry, what is the required unit of measure for reporting total energy consumed?",Kilowatt-hours (kWh),Megawatt-hours (MWh),Gigajoules (GJ),British Thermal Units (BTU),Calories (cal),C. Gigajoules (GJ),IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,40
b6-multiline-and-specialty-retailers-and-distributors,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"When calculating the percentage of renewable energy consumed, which of the following is NOT included in the scope of renewable energy according to the IFRS S2 disclosure requirements?",Renewable fuel consumed by the entity,Renewable energy directly produced by the entity,Renewable energy purchased through a PPA with explicit RECs,Green-e Energy Certified utility program purchases,The renewable portion of the electricity grid mix outside the entity's control,E. The renewable portion of the electricity grid mix outside the entity's control,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,41
b6-multiline-and-specialty-retailers-and-distributors,Disclosure Requirements: Questions about specific sustainability disclosure requirements for this industry.,"For energy from biomass sources to be considered renewable in sustainability reporting for this industry, which certification is NOT mentioned as acceptable in the IFRS S2 disclosure requirements?",Forest Stewardship Council,Sustainable Forest Initiative,Programme for the Endorsement of Forest Certification,American Tree Farm System,ISO 14001 Environmental Management,E. ISO 14001 Environmental Management,IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements,41
