industries,qa_type,question,optionA,optionB,optionC,optionD,optionE,answer,explanation,pairing_explanation,references,pages
"['b4-e-commerce', 'b14-oil-and-gas-services']",Cross-Industry Comparison,Which of the following represents a unique sustainability reporting challenge for E-Commerce companies when compared to Oil & Gas Services companies?,Reporting on fuel efficiency of delivery vehicles,Disclosing water consumption in data centers,Calculating emissions from drilling operations,Reporting on workplace safety incidents,Disclosing the number of active well sites,B: Disclosing water consumption in data centers,"E-Commerce companies face a unique challenge in reporting water consumption in data centers (CG-EC-130a.2). This is specific to the E-Commerce industry due to its heavy reliance on data centers for operations. Oil & Gas Services companies do not have similar data center-related disclosure requirements, focusing instead on water management in drilling and fracturing operations (EM-SV-140a.1, EM-SV-140a.2).","E-commerce distribution involves significant fuel usage, making a comparison with oil and gas service’s environmental and logistics sustainability useful.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['29', '130', '131']"
"['b4-e-commerce', 'b14-oil-and-gas-services']",Cross-Industry Comparison,"When preparing sustainability reports, which of the following areas presents a common challenge for both E-Commerce and Oil & Gas Services companies, but for different industry-specific reasons?",Reporting on biodiversity impacts,Disclosing scope 3 emissions,Calculating and reporting on fuel consumption,Assessing cybersecurity risks,Reporting on labor practices in the supply chain,C: Calculating and reporting on fuel consumption,"Both E-Commerce and Oil & Gas Services companies face challenges in calculating and reporting fuel consumption, but for different industry-specific reasons. E-Commerce companies must account for fuel used in product delivery and transportation (CG-EC-410a.1, CG-EC-410a.2), while Oil & Gas Services companies need to report on fuel used in their operations, including on-road and off-road equipment (EM-SV-110a.1). Both industries must also consider the percentage of renewable fuels used, adding complexity to their reporting.","E-commerce distribution involves significant fuel usage, making a comparison with oil and gas service’s environmental and logistics sustainability useful.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: E-Commerce', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Services']","['31', '32', '126', '127']"
"['b2-appliance-manufacturing', 'b13-oil-and-gas-refining-and-marketing']",Reporting Requirements,"According to IFRS standards, which of the following is a required disclosure for Appliance Manufacturing companies but not for Oil & Gas Refining & Marketing companies?",Gross global Scope 1 emissions,Percentage of products certified to energy efficiency standards,Total fresh water withdrawn,Long-term strategy to manage emissions,Refining operating capacity,B: Percentage of products certified to energy efficiency standards,"Appliance Manufacturing companies are required to disclose the percentage of eligible products certified to energy efficiency standards (CG-AM-410a.1), while this is not a requirement for Oil & Gas Refining & Marketing companies. Both industries have requirements related to emissions, water management, and operational capacity, but product energy efficiency certification is specific to Appliance Manufacturing.",Resource-intensive manufacturing in appliance production can be compared with the heavy industrial processes and significant emissions found in oil refining.,"['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Appliance Manufacturing', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing']","['12', '114-115']"
"['b2-appliance-manufacturing', 'b13-oil-and-gas-refining-and-marketing']",Reporting Requirements,Which of the following metrics is required for both Appliance Manufacturing and Oil & Gas Refining & Marketing companies under IFRS sustainability reporting standards?,Percentage of products certified to AHAM sustainability standards,Total addressable market for advanced biofuels,Description of efforts to manage products' end-of-life impacts,Gross global Scope 1 emissions,Percentage of water recycled,D: Gross global Scope 1 emissions,"While Gross global Scope 1 emissions is explicitly required for Oil & Gas Refining & Marketing companies (EM-RM-110a.1), it is also implicitly required for Appliance Manufacturing companies under the broader IFRS S2 Climate-related Disclosures. The other options are specific to one industry or not explicitly required for both.",Resource-intensive manufacturing in appliance production can be compared with the heavy industrial processes and significant emissions found in oil refining.,"['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Appliance Manufacturing', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing']","['12-14', '116-120']"
"['b2-appliance-manufacturing', 'b13-oil-and-gas-refining-and-marketing']",Metric Selection and Calculation,"When calculating the percentage of products certified to energy efficiency standards for Appliance Manufacturing, what is the correct denominator to use?",Total revenue from all products,Total number of products manufactured,Total revenue from products eligible for certification,Total number of product categories,Total production capacity,C: Total revenue from products eligible for certification,"According to CG-AM-410a.1, the entity shall calculate the percentage as the revenue from products meeting the requirements for the applicable certification divided by total revenue from products eligible for certification by each certification. This ensures that only products that could potentially be certified are included in the calculation.",Resource-intensive manufacturing in appliance production can be compared with the heavy industrial processes and significant emissions found in oil refining.,['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Appliance Manufacturing'],['12-13']
"['b2-appliance-manufacturing', 'b13-oil-and-gas-refining-and-marketing']",Metric Selection and Calculation,"For Oil & Gas Refining & Marketing companies, when reporting on water management, which of the following is NOT a required component of the disclosure EM-RM-140a.1?",Total fresh water withdrawn,Percentage of water recycled,Percentage of water withdrawn in regions with High or Extremely High Baseline Water Stress,Percentage of water consumed in regions with High or Extremely High Baseline Water Stress,Total wastewater generated,E: Total wastewater generated,"According to EM-RM-140a.1, Oil & Gas Refining & Marketing companies are required to disclose (1) total fresh water withdrawn, (2) percentage recycled, and (3) percentage in regions with High or Extremely High Baseline Water Stress. The disclosure also requires reporting on water consumed in high-stress regions. However, total wastewater generated is not explicitly required in this metric.",Resource-intensive manufacturing in appliance production can be compared with the heavy industrial processes and significant emissions found in oil refining.,['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing'],['121-122']
"['b2-appliance-manufacturing', 'b13-oil-and-gas-refining-and-marketing']",Cross-Industry Comparison,How do the IFRS sustainability reporting requirements for Appliance Manufacturing and Oil & Gas Refining & Marketing differ in their approach to product lifecycle impacts?,Only Appliance Manufacturing considers end-of-life impacts,Only Oil & Gas Refining & Marketing considers product use emissions,Both industries have identical lifecycle impact reporting requirements,"Appliance Manufacturing focuses on energy efficiency, while Oil & Gas Refining & Marketing focuses on advanced biofuels",Neither industry is required to report on product lifecycle impacts,"D: Appliance Manufacturing focuses on energy efficiency, while Oil & Gas Refining & Marketing focuses on advanced biofuels","The Appliance Manufacturing industry is required to report on product energy efficiency certifications and end-of-life management (CG-AM-410a.1, CG-AM-410a.2, CG-AM-410a.3), focusing on the use phase and disposal of products. In contrast, the Oil & Gas Refining & Marketing industry is required to report on advanced biofuels and associated infrastructure (EM-RM-410a.2), which addresses the environmental impact of their products during use. This reflects the different nature of products and their lifecycle impacts in these industries.",Resource-intensive manufacturing in appliance production can be compared with the heavy industrial processes and significant emissions found in oil refining.,"['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Appliance Manufacturing', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing']","['12-14', '122-123']"
"['b2-appliance-manufacturing', 'b13-oil-and-gas-refining-and-marketing']",Cross-Industry Comparison,Which sustainability topic is explicitly addressed in the IFRS reporting requirements for both Appliance Manufacturing and Oil & Gas Refining & Marketing industries?,Product energy efficiency,Water management,Greenhouse gas emissions,Waste management,Occupational health and safety,C: Greenhouse gas emissions,"Greenhouse gas emissions is a topic explicitly addressed in the IFRS reporting requirements for both industries. For Appliance Manufacturing, it's covered under the broader climate-related disclosures, while for Oil & Gas Refining & Marketing, it's specifically addressed in EM-RM-110a.1 and EM-RM-110a.2. Water management is explicitly required for Oil & Gas Refining & Marketing but not for Appliance Manufacturing. Product energy efficiency is specific to Appliance Manufacturing. Waste management and occupational health and safety are not explicitly mentioned as top-level disclosure topics for either industry in the given extracts.",Resource-intensive manufacturing in appliance production can be compared with the heavy industrial processes and significant emissions found in oil refining.,"['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Appliance Manufacturing', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Oil & Gas – Refining & Marketing']","['12', '116-120']"
"['b3-building-products-and-furnishings', 'b36-real-estate']",Reporting Requirements,"According to IFRS standards, what is a key difference in energy management reporting requirements between the Building Products & Furnishings industry and the Real Estate industry?",Only the Real Estate industry must report on renewable energy percentage,Only the Building Products & Furnishings industry must report on grid electricity percentage,"The Real Estate industry must report energy consumption by property subsector, while Building Products & Furnishings reports it as a whole","The Building Products & Furnishings industry must report energy ratings, while Real Estate does not",There are no significant differences in energy management reporting requirements,"C: The Real Estate industry must report energy consumption by property subsector, while Building Products & Furnishings reports it as a whole","The Real Estate industry is required to disclose energy consumption data separately for each property subsector, as specified in IF-RE-130a.2. In contrast, the Building Products & Furnishings industry reports energy consumption as a whole for the company, without breaking it down by property type or subsector.","Both industries deal with materials for buildings, offering a perspective on sustainability in product lifecycle and land use.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Real Estate']","['16', '362-363']"
"['b3-building-products-and-furnishings', 'b36-real-estate']",Reporting Requirements,"When reporting on water management, what is a key difference between the Building Products & Furnishings industry and the Real Estate industry according to IFRS standards?",Only the Real Estate industry must report on water stress,"The Building Products & Furnishings industry reports on water quality, while Real Estate does not","Real Estate must report water withdrawal by property subsector, while Building Products & Furnishings does not have this requirement","Building Products & Furnishings must report on wastewater treatment, while Real Estate does not",There are no significant differences in water management reporting requirements,"C: Real Estate must report water withdrawal by property subsector, while Building Products & Furnishings does not have this requirement","The Real Estate industry is required to disclose water withdrawal data separately for each property subsector, as specified in IF-RE-140a.2. The Building Products & Furnishings industry does not have a similar requirement to break down water usage by property type or subsector.","Both industries deal with materials for buildings, offering a perspective on sustainability in product lifecycle and land use.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Real Estate']","['22-24', '376-378']"
"['b3-building-products-and-furnishings', 'b36-real-estate']",Metric Selection and Calculation,How does the calculation of energy consumption differ between the Building Products & Furnishings industry and the Real Estate industry in IFRS sustainability reporting?,"Building Products & Furnishings uses kWh, while Real Estate uses GJ","Real Estate calculates by property subsector, while Building Products & Furnishings calculates as a whole","Building Products & Furnishings includes transportation energy, while Real Estate does not","Real Estate uses a rolling average, while Building Products & Furnishings uses annual totals",There is no significant difference in energy consumption calculation methods,"B: Real Estate calculates by property subsector, while Building Products & Furnishings calculates as a whole","The Real Estate industry is required to calculate and disclose energy consumption data separately for each property subsector (IF-RE-130a.2), while the Building Products & Furnishings industry calculates and reports energy consumption as a whole for the company, without breaking it down by property type or subsector.","Both industries deal with materials for buildings, offering a perspective on sustainability in product lifecycle and land use.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Real Estate']","['16-17', '362-366']"
"['b3-building-products-and-furnishings', 'b36-real-estate']",Metric Selection and Calculation,"In IFRS sustainability reporting, how does the calculation of water-related metrics differ between the Building Products & Furnishings industry and the Real Estate industry?","Building Products & Furnishings reports in gallons, while Real Estate uses cubic meters","Real Estate must calculate water stress by region, while Building Products & Furnishings does not","Building Products & Furnishings includes water quality metrics, while Real Estate does not","Real Estate calculates water withdrawal by property subsector, while Building Products & Furnishings does not have this requirement",There is no significant difference in water-related metric calculations,"D: Real Estate calculates water withdrawal by property subsector, while Building Products & Furnishings does not have this requirement","The Real Estate industry is required to calculate and disclose water withdrawal data separately for each property subsector (IF-RE-140a.2), while the Building Products & Furnishings industry does not have a similar requirement to break down water usage calculations by property type or subsector.","Both industries deal with materials for buildings, offering a perspective on sustainability in product lifecycle and land use.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Real Estate']","['22-24', '376-378']"
"['b3-building-products-and-furnishings', 'b36-real-estate']",Cross-Industry Comparison,How do the Building Products & Furnishings and Real Estate industries differ in their approach to reporting on climate change adaptation in IFRS sustainability disclosures?,Only Real Estate reports on properties in flood zones,"Building Products & Furnishings focuses on product resilience, while Real Estate focuses on property resilience","Real Estate must report on climate scenarios, while Building Products & Furnishings does not","Building Products & Furnishings reports on supply chain climate risks, while Real Estate does not",There is no significant difference in climate change adaptation reporting,A: Only Real Estate reports on properties in flood zones,"The Real Estate industry has a specific requirement (IF-RE-450a.1) to disclose the area of properties located in 100-year flood zones, while the Building Products & Furnishings industry does not have a similar flood zone reporting requirement. This reflects the different nature of climate change risks faced by these industries.","Both industries deal with materials for buildings, offering a perspective on sustainability in product lifecycle and land use.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Real Estate']","['15-24', '388-390']"
"['b3-building-products-and-furnishings', 'b36-real-estate']",Cross-Industry Comparison,What is a key difference in sustainability reporting focus between the Building Products & Furnishings industry and the Real Estate industry according to IFRS standards?,"Building Products & Furnishings focuses on product lifecycle, while Real Estate focuses on operational efficiency","Real Estate reports on tenant sustainability, while Building Products & Furnishings does not have a similar focus","Building Products & Furnishings emphasizes material sourcing, while Real Estate emphasizes location-based risks","Real Estate focuses on energy ratings, while Building Products & Furnishings focuses on product energy efficiency",There is no significant difference in sustainability reporting focus,"B: Real Estate reports on tenant sustainability, while Building Products & Furnishings does not have a similar focus","The Real Estate industry has specific requirements to report on tenant sustainability impacts (IF-RE-410a.1, IF-RE-410a.2, IF-RE-410a.3), including metrics related to tenant energy and water consumption and strategies for improving tenant sustainability. The Building Products & Furnishings industry does not have similar requirements focused on end-user or customer sustainability impacts.","Both industries deal with materials for buildings, offering a perspective on sustainability in product lifecycle and land use.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Building Products & Furnishings', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Real Estate']","['15-24', '383-388']"
"['b5-household-and-personal-products', 'b25-processed-foods']",Reporting Requirements,"In comparing the Household & Personal Products and Processed Foods industries, which water-related metric is required to be reported by both industries according to IFRS standards?",Total water recycled,Water intensity per unit of production,"Total water withdrawn and consumed, with percentages in high water stress regions",Number of water treatment facilities,Annual water cost savings,"C: Total water withdrawn and consumed, with percentages in high water stress regions","Both the Household & Personal Products (CG-HP-140a.1) and Processed Foods (FB-PF-140a.1) industries are required to report '(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress' according to IFRS standards. This metric is crucial for understanding water management and risks in both industries, which rely heavily on water resources in their operations.","Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.","['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Household & Personal Products', 'IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Processed Foods']","['34', '261-262']"
"['b5-household-and-personal-products', 'b25-processed-foods']",Reporting Requirements,Which of the following disclosures is specifically required for the Processed Foods industry but not for the Household & Personal Products industry under IFRS standards?,Energy management metrics,Water management strategies,Supply chain audit results,Number of incidents of non-compliance with water-related permits,Palm oil sourcing certification,D: Number of incidents of non-compliance with water-related permits,"The Processed Foods industry is specifically required to disclose the 'Number of incidents of non-compliance associated with water quantity and/or quality permits, standards, and regulations' (FB-PF-140a.2), which is not a required disclosure for the Household & Personal Products industry. This metric is important for understanding regulatory compliance and potential risks related to water management in food processing operations.","Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Processed Foods'],['262']
"['b5-household-and-personal-products', 'b25-processed-foods']",Metric Selection and Calculation,"When calculating the percentage of certified palm oil for the Household & Personal Products industry, which of the following is NOT considered a valid RSPO supply chain model according to IFRS standards?",Identity Preserved (IP),Segregated (SG),Mass Balance (MB),Book & Claim (B&C),Partial Segregation (PS),E: Partial Segregation (PS),"According to the IFRS standards for the Household & Personal Products industry, the valid RSPO supply chain models for calculating the percentage of certified palm oil are Identity Preserved (IP), Segregated (SG), Mass Balance (MB), and Book & Claim (B&C). 'Partial Segregation (PS)' is not mentioned as a valid RSPO supply chain model in the standards and is therefore not considered when calculating this metric.","Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Household & Personal Products'],['38']
"['b5-household-and-personal-products', 'b25-processed-foods']",Metric Selection and Calculation,"In the Processed Foods industry, when calculating the percentage of food ingredients sourced from regions with High or Extremely High Baseline Water Stress, which tool is specifically mentioned in the IFRS standards for classifying water stress levels?",FAO's AQUASTAT,"World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct",UN Water's SDG 6 Data Portal,UNEP's Global Environment Outlook,CDP's Water Security Questionnaire,"B: World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct","The IFRS standards for the Processed Foods industry specifically mention the World Resources Institute's (WRI) Water Risk Atlas tool, Aqueduct, for classifying regions with High (40-80%) or Extremely High (>80%) Baseline Water Stress when calculating the percentage of food ingredients sourced from these regions. This tool is crucial for standardizing the assessment of water stress across global supply chains in the industry.","Household and personal products, like processed foods, involve complex supply chains, with sustainability metrics focused on waste, resource use, and packaging.",['IFRS S2 Climate-related Disclosures Appendix B Industry-based disclosure requirements: Processed Foods'],['268']
