Question Type,Temperature,Method,Hop Type,Industry Type,Specificity,Faithfulness,Relevancy,Single Best Answer,Negative Questions,Multi-hop Questions,BLEU,ROUGE
MCQ,0.0,local,multi_hop,local,9,10,10.0,1,0,1,,
MCQ,0.5,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.5,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.5,local,single_hop,local,9,10,10.0,0,0,0,,
MCQ,0.5,local,single_hop,local,9,10,9.0,1,0,0,,
MCQ,0.5,local,multi_hop,local,8,10,10.0,1,0,1,,
MCQ,0.5,local,multi_hop,local,9,8,10.0,1,0,1,,
MCQ,0.5,local,multi_hop,local,8,9,10.0,1,0,1,,
MCQ,0.5,local,multi_hop,local,8,8,9.0,1,0,1,,
MCQ,1.0,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,1.0,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,1.0,local,single_hop,local,6,3,2.0,1,0,0,,
MCQ,1.0,local,single_hop,local,8,10,10.0,1,0,0,,
MCQ,1.0,local,multi_hop,local,9,10,10.0,1,0,1,,
MCQ,1.0,local,multi_hop,local,9,8,10.0,1,0,1,,
MCQ,1.0,local,multi_hop,local,7,10,10.0,1,0,1,,
MCQ,1.0,local,multi_hop,local,9,8,10.0,1,0,0,,
MCQ,0.2,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.2,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.2,local,single_hop,local,9,10,10.0,1,0,0,,
MCQ,0.2,local,single_hop,local,9,10,10.0,0,0,0,,
MCQ,0.2,local,multi_hop,local,9,10,10.0,1,0,0,,
MCQ,0.2,local,multi_hop,local,8,9,10.0,1,0,0,,
MCQ,0.2,local,multi_hop,local,8,10,10.0,1,0,1,,
MCQ,0.2,local,multi_hop,local,9,10,10.0,1,0,0,,
MCQ,0.2,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.2,local,single_hop,local,9,10,10.0,1,0,0,,
MCQ,0.2,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.2,local,single_hop,local,9,10,9.0,1,0,0,,
MCQ,0.2,local,multi_hop,local,8,8,9.0,1,0,0,,
MCQ,0.2,local,multi_hop,local,9,6,8.0,1,0,1,,
MCQ,0.2,local,multi_hop,local,8,6,8.0,0,0,1,,
MCQ,0.2,local,multi_hop,local,8,6,8.0,1,0,0,,
MCQ,0.5,local,single_hop,local,9,10,10.0,1,0,0,,
MCQ,0.5,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.5,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.5,local,single_hop,local,6,8,9.0,1,0,0,,
MCQ,0.5,local,multi_hop,local,8,9,10.0,0,0,0,,
MCQ,0.5,local,multi_hop,local,10,8,9.0,1,0,0,,
MCQ,0.5,local,multi_hop,local,10,10,10.0,1,0,0,,
MCQ,0.5,local,multi_hop,local,8,8,10.0,1,0,1,,
MCQ,0.0,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.0,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,0.0,local,single_hop,local,8,10,10.0,1,0,0,,
MCQ,0.0,local,single_hop,local,9,10,10.0,1,0,0,,
MCQ,0.0,local,multi_hop,local,9,10,10.0,1,0,0,,
MCQ,0.0,local,multi_hop,local,8,10,10.0,1,0,1,,
MCQ,0.0,local,multi_hop,local,8,9,10.0,1,0,1,,
MCQ,0.0,local,multi_hop,local,9,10,10.0,1,0,1,,
MCQ,1.0,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,1.0,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,1.0,local,single_hop,local,10,10,10.0,1,0,1,,
MCQ,1.0,local,single_hop,local,10,10,10.0,1,0,0,,
MCQ,1.0,local,multi_hop,local,9,4,3.0,1,0,0,,
MCQ,1.0,local,multi_hop,local,8,7,8.0,1,0,0,,
MCQ,1.0,local,multi_hop,local,8,9,10.0,0,0,1,,
MCQ,1.0,local,multi_hop,local,10,10,10.0,1,0,0,,
